,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
0,SA,Blake Wesley,14,G,"6' 3""",185,"$2,504,640",21,2003-03-16,"South Bend, Indiana"
1,SA,Victor Wembanyama,1,C,"7' 4""",210,"$12,160,680",20,2004-01-04,"Le Chesnay, France"
2,SA,Devin Vassell,24,SG,"6' 5""",200,"$5,887,899",23,2000-08-23,"Lawrenceville, Georgia"
3,SA,Jeremy Sochan,10,F,"6' 8""",230,"$5,316,960",21,2003-05-20,"Guymon, Oklahoma"
4,SA,Juan Nunez,--,G,"6' 4""",190,--,20,2004-06-04,"Madrid, Spain"
6,SA,Tre Jones,33,PG,"6' 1""",185,"$9,895,833",24,2000-01-08,"Apple Valley, Minnesota"
7,SA,Keldon Johnson,3,SF,"6' 5""",220,"$20,000,000",24,1999-10-11,"Chesterfield, Virginia"
8,SA,Harrison Ingram,--,F,"6' 5""",234,--,21,2002-11-27,"Dallas, Texas"
9,SA,RaiQuan Gray,0,F,"6' 7""",269,--,24,1999-07-07,"Fort Lauderdale, Florida"
10,SA,Devonte' Graham,4,PG,"6' 1""",195,"$12,100,000",29,1995-02-22,"Raleigh, North Carolina"
11,SA,Zach Collins,23,PF,"6' 11""",250,"$7,700,000",26,1997-11-19,"Las Vegas, Nevada"
12,SA,Sidy Cissoko,25,G,"6' 6""",200,"$1,119,563",20,2004-04-02,"Saint-Maurice, France"
13,SA,Julian Champagnie,30,F,"6' 7""",217,"$3,000,000",23,2001-06-29,"Staten Island, New York"
14,SA,Stephon Castle,--,G,"6' 6""",215,--,19,2004-11-01,"Covington, Georgia"
15,SA,Malaki Branham,22,G,"6' 4""",180,"$3,071,880",21,2003-05-12,"Columbus, Ohio"
16,SA,Jamaree Bouyea,21,G,"6' 2""",180,--,25,1999-06-27,"Seaside, California"
17,SA,Charles Bassey,28,C,"6' 10""",230,"$2,600,000",23,2000-10-28,"Lagos, Nigeria"
20,NO,Zion Williamson,1,PF,"6' 6""",284,"$34,005,250",23,2000-07-06,"Salisbury, North Carolina"
