,Name,Lonzo Ball,Matas Buzelis,Jevon Carter,Torrey Craig,Ayo Dosunmu,Chris Duarte,Josh Giddey,Talen Horton-Tucker,Zach LaVine,E.J. Liddell,Julian Phillips,Adama Sanogo,Jalen Smith,DJ Steward,Dalen Terry,Nikola Vucevic,Coby White,Patrick Williams,Average
0,Lonzo Ball,-1,12,28,24,24,20,20,12,32,16,21,21,24,0,16,25,17,16,19.29
1,Matas Buzelis,12,-1,12,24,17,16,32,24,16,28,16,32,24,33,40,28,24,12,22.94
2,Jevon Carter,28,12,-1,37,24,44,28,29,28,33,12,32,40,0,24,16,16,29,25.41
3,Torrey Craig,24,24,37,-1,23,40,12,17,21,36,28,28,36,4,16,28,24,33,25.35
4,Ayo Dosunmu,24,17,24,23,-1,24,25,20,16,20,16,16,28,21,40,19,20,20,21.94
5,Chris Duarte,20,16,44,40,24,-1,16,25,25,36,32,20,28,20,8,16,20,29,24.65
6,Josh Giddey,20,32,28,12,25,16,-1,28,16,28,24,16,20,37,36,12,20,28,23.41
7,Talen Horton-Tucker,12,24,29,17,20,25,28,-1,13,33,20,16,21,28,4,16,24,44,22.0
8,Zach LaVine,32,16,28,21,16,25,16,13,-1,21,32,12,25,16,24,20,24,21,21.29
9,E.J. Liddell,16,28,33,36,20,36,28,33,21,-1,16,32,48,16,24,36,12,21,26.82
10,Julian Phillips,21,16,12,28,16,32,24,20,32,16,-1,25,32,16,32,13,25,12,21.88
11,Adama Sanogo,21,32,32,28,16,20,16,16,12,32,25,-1,24,16,28,29,32,35,24.35
12,Jalen Smith,24,24,40,36,28,28,20,21,25,48,32,24,-1,12,32,20,20,29,27.24
13,DJ Steward,0,33,0,4,21,20,37,28,16,16,16,16,12,-1,21,4,12,24,16.47
14,Dalen Terry,16,40,24,16,40,8,36,4,24,24,32,28,32,21,-1,8,24,28,23.82
15,Nikola Vucevic,25,28,16,28,19,16,12,16,20,36,13,29,20,4,8,-1,17,24,19.47
16,Coby White,17,24,16,24,20,20,20,24,24,12,25,32,20,12,24,17,-1,35,21.53
17,Patrick Williams,16,12,29,33,20,29,28,44,21,21,12,35,29,24,28,24,35,-1,25.88
