,Name,Jarrett Allen,Emoni Bates,Jules Bernard,Omar Cook,Darius Garland,Ty Jerome,Caris LeVert,Sam Merrill,Donovan Mitchell,Evan Mobley,Pete Nance,Georges Niang,Isaac Okoro,Craig Porter Jr.,Max Strus,Tristan Thompson,JT Thor,Luke Travers,Jaylon Tyson,Dean Wade,Average
0,Jarrett Allen,-1,32,32,21,40,28,32,21,4,32,32,24,29,28,20,12,16,20,12,33,24.63
1,Emoni Bates,32,-1,33,28,29,20,20,29,16,20,12,16,40,20,4,28,20,16,16,25,22.32
2,Jules Bernard,32,33,-1,29,29,16,12,29,24,16,12,28,33,12,12,12,24,24,16,29,22.21
3,Omar Cook,21,28,29,-1,25,20,8,29,24,12,16,12,28,20,24,24,24,20,16,33,21.74
4,Darius Garland,40,29,29,25,-1,20,24,25,12,16,24,12,32,24,32,12,24,16,24,25,23.42
5,Ty Jerome,28,20,16,20,20,-1,35,20,19,16,32,20,16,28,37,20,28,28,20,20,23.32
6,Caris LeVert,32,20,12,8,24,35,-1,12,9,33,39,33,24,40,20,25,32,21,17,23,24.16
7,Sam Merrill,21,29,29,29,25,20,12,-1,20,20,16,24,29,16,16,28,16,24,36,32,23.26
8,Donovan Mitchell,4,16,24,24,12,19,9,20,-1,29,21,25,8,24,24,40,21,29,48,16,21.74
9,Evan Mobley,32,20,16,12,16,16,33,20,29,-1,17,32,16,17,12,33,21,25,21,16,21.26
10,Pete Nance,32,12,12,16,24,32,39,16,21,17,-1,25,23,33,8,21,44,37,21,19,23.79
11,Georges Niang,24,16,28,12,12,20,33,24,25,32,25,-1,12,17,20,29,21,21,25,12,21.47
12,Isaac Okoro,29,40,33,28,32,16,24,29,8,16,23,12,-1,28,16,20,28,20,12,21,22.89
13,Craig Porter Jr.,28,20,12,20,24,28,40,16,24,17,33,17,28,-1,20,13,32,44,28,32,25.05
14,Max Strus,20,4,12,24,32,37,20,16,24,12,8,20,16,20,-1,12,16,12,20,36,19.0
15,Tristan Thompson,12,28,12,24,12,20,25,28,40,33,21,29,20,13,12,-1,21,33,33,16,22.74
16,JT Thor,16,20,24,24,24,28,32,16,21,21,44,21,28,32,16,21,-1,21,13,31,23.84
17,Luke Travers,20,16,24,20,16,28,21,24,29,25,37,21,20,44,12,33,21,-1,32,8,23.74
18,Jaylon Tyson,12,16,16,16,24,20,17,36,48,21,21,25,12,28,20,33,13,32,-1,24,22.84
19,Dean Wade,33,25,29,33,25,20,23,32,16,16,19,12,21,32,36,16,31,8,24,-1,23.74
