,Name,Brandon Williams,P.J. Washington,Klay Thompson,Olivier-Maxence Prosper,Dwight Powell,Markieff Morris,Naji Marshall,Dereck Lively II,Maxi Kleber,Kyrie Irving,Jaden Hardy,Quentin Grimes,Daniel Gafford,Dante Exum,Kessler Edwards,Luka Doncic,Spencer Dinwiddie,Average
0,Brandon Williams,-1,24,32,12,16,36,16,16,28,28,12,20,36,12,16,36,8,21.75
1,P.J. Washington,24,-1,8,20,8,25,16,31,4,8,16,8,8,16,32,44,16,17.75
2,Klay Thompson,32,8,-1,16,24,20,25,33,37,24,16,32,40,24,36,16,16,24.94
3,Olivier-Maxence Prosper,12,20,16,-1,25,20,20,12,20,25,32,12,32,25,12,16,33,20.75
4,Dwight Powell,16,8,24,25,-1,12,35,20,20,33,29,32,21,29,16,16,25,22.56
5,Markieff Morris,36,25,20,20,12,-1,20,24,20,20,16,16,27,12,20,32,20,21.25
6,Naji Marshall,16,16,25,20,35,20,-1,17,33,20,20,25,28,28,29,12,16,22.5
7,Dereck Lively II,16,31,33,12,20,24,17,-1,25,12,16,28,32,16,40,24,20,22.88
8,Maxi Kleber,28,4,37,20,20,20,33,25,-1,24,4,21,40,24,32,24,20,23.5
9,Kyrie Irving,28,8,24,25,33,20,20,12,24,-1,17,28,40,21,20,20,9,21.81
10,Jaden Hardy,12,16,16,32,29,16,20,16,4,17,-1,32,25,29,8,16,40,20.5
11,Quentin Grimes,20,8,32,12,32,16,25,28,21,28,32,-1,20,31,32,20,32,24.31
12,Daniel Gafford,36,8,40,32,21,27,28,32,40,40,25,20,-1,13,20,16,32,26.88
13,Dante Exum,12,16,24,25,29,12,28,16,24,21,29,31,13,-1,4,8,29,20.06
14,Kessler Edwards,16,32,36,12,16,20,29,40,32,20,8,32,20,4,-1,31,28,23.5
15,Luka Doncic,36,44,16,16,16,32,12,24,24,20,16,20,16,8,31,-1,16,21.69
16,Spencer Dinwiddie,8,16,16,33,25,20,16,20,20,9,40,32,32,29,28,16,-1,22.5
