,Name,Malik Beasley,Cade Cunningham,Jalen Duren,Simone Fontecchio,Tim Hardaway Jr.,Tobias Harris,Ron Holland II,Jaden Ivey,Daniss Jenkins,Bobi Klintman,Wendell Moore Jr.,Paul Reed,Marcus Sasser,Isaiah Stewart,Ausar Thompson,Average
0,Malik Beasley,-1,16,24,29,36,20,8,16,24,13,29,36,21,24,16,22.29
1,Cade Cunningham,16,-1,20,20,20,25,29,12,12,20,32,12,40,32,24,22.43
2,Jalen Duren,24,20,-1,16,28,12,28,36,32,12,24,16,12,31,29,22.86
3,Simone Fontecchio,29,20,16,-1,25,28,28,20,8,40,21,28,17,9,8,21.21
4,Tim Hardaway Jr.,36,20,28,25,-1,28,20,20,8,32,21,25,25,17,24,23.5
5,Tobias Harris,20,25,12,28,28,-1,33,16,24,12,24,8,28,24,28,22.14
6,Ron Holland II,8,29,28,28,20,33,-1,20,20,20,24,16,32,32,32,24.43
7,Jaden Ivey,16,12,36,20,20,16,20,-1,40,20,20,28,28,24,25,23.21
8,Daniss Jenkins,24,12,32,8,8,24,20,40,-1,16,16,28,24,20,21,20.93
9,Bobi Klintman,13,20,12,40,32,12,20,20,16,-1,25,13,29,13,24,20.64
10,Wendell Moore Jr.,29,32,24,21,21,24,24,20,16,25,-1,17,29,29,32,24.5
11,Paul Reed,36,12,16,28,25,8,16,28,28,13,17,-1,25,17,16,20.36
12,Marcus Sasser,21,40,12,17,25,28,32,28,24,29,29,25,-1,37,12,25.64
13,Isaiah Stewart,24,32,31,9,17,24,32,24,20,13,29,17,37,-1,24,23.79
14,Ausar Thompson,16,24,29,8,24,28,32,25,21,24,32,16,12,24,-1,22.5
