,Name,Kyle Anderson,Reece Beekman,Stephen Curry,Draymond Green,Buddy Hield,Blake Hinson,Trayce Jackson-Davis,Jonathan Kuminga,Kevon Looney,De'Anthony Melton,Moses Moody,Gary Payton II,Brandin Podziemski,Quinten Post,Jackson Rowe,Gui Santos,Pat Spencer,Lindy Waters III,Andrew Wiggins,Average
0,Kyle Anderson,-1,8,36,21,28,24,17,8,8,33,33,12,29,27,12,39,28,20,25,22.67
1,Reece Beekman,8,-1,12,24,20,25,28,45,28,20,24,20,16,32,36,25,33,16,24,24.22
2,Stephen Curry,36,12,-1,33,28,8,25,28,20,21,17,24,29,20,12,24,12,24,25,22.11
3,Draymond Green,21,24,33,-1,25,16,33,16,24,21,36,8,33,20,24,20,20,0,37,22.83
4,Buddy Hield,28,20,28,25,-1,28,29,32,12,29,17,16,25,24,12,27,28,16,37,24.06
5,Blake Hinson,24,25,8,16,28,-1,12,17,8,12,16,12,44,20,29,40,32,16,20,21.06
6,Trayce Jackson-Davis,17,28,25,33,29,12,-1,27,24,37,37,28,29,16,28,12,19,12,28,24.5
7,Jonathan Kuminga,8,45,28,16,32,17,27,-1,28,28,32,36,12,25,48,13,28,20,12,25.28
8,Kevon Looney,8,28,20,24,12,8,24,28,-1,24,28,33,16,16,24,0,16,17,20,19.22
9,De'Anthony Melton,33,20,21,21,29,12,37,28,24,-1,33,16,28,24,24,16,20,32,21,24.39
10,Moses Moody,33,24,17,36,17,16,37,32,28,33,-1,20,29,16,24,24,8,32,29,25.28
11,Gary Payton II,12,20,24,8,16,12,28,36,33,16,20,-1,36,16,20,20,23,33,12,21.39
12,Brandin Podziemski,29,16,29,33,25,44,29,12,16,28,29,36,-1,12,16,40,28,12,29,25.72
13,Quinten Post,27,32,20,20,24,20,16,25,16,24,16,16,12,-1,33,32,29,24,16,22.33
14,Jackson Rowe,12,36,12,24,12,29,28,48,24,24,24,20,16,33,-1,17,28,16,12,23.06
15,Gui Santos,39,25,24,20,27,40,12,13,0,16,24,20,40,32,17,-1,25,20,24,23.22
16,Pat Spencer,28,33,12,20,28,32,19,28,16,20,8,23,28,29,28,25,-1,16,28,23.39
17,Lindy Waters III,20,16,24,0,16,16,12,20,17,32,32,33,12,24,16,20,16,-1,16,19.0
18,Andrew Wiggins,25,24,25,37,37,20,28,12,20,21,29,12,29,16,12,24,28,16,-1,23.06
