,Name,Nate Williams,Cam Whitmore,Fred VanVleet,Amen Thompson,Jae'Sean Tate,Jabari Smith Jr.,Reed Sheppard,Alperen Sengun,Jermaine Samuels Jr.,Jack McVeigh,Jock Landale,Aaron Holiday,Nate Hinton,Jeff Green,Jalen Green,Tari Eason,Dillon Brooks,Steven Adams,Average
0,Nate Williams,-1,12,8,32,28,25,20,25,43,28,29,16,8,28,21,37,29,16,23.82
1,Cam Whitmore,12,-1,12,24,12,28,25,20,20,33,16,29,20,16,20,12,24,33,20.94
2,Fred VanVleet,8,12,-1,8,36,20,12,16,8,20,24,12,21,48,16,16,24,20,18.88
3,Amen Thompson,32,24,8,-1,21,25,24,36,33,16,13,16,20,12,33,29,37,24,23.71
4,Jae'Sean Tate,28,12,36,21,-1,13,24,29,17,32,33,0,28,28,17,25,36,24,23.71
5,Jabari Smith Jr.,25,28,20,25,13,-1,8,33,25,8,25,32,24,16,37,36,29,12,23.29
6,Reed Sheppard,20,25,12,24,24,8,-1,16,28,25,28,25,24,16,16,24,24,29,21.65
7,Alperen Sengun,25,20,16,36,29,33,16,-1,25,20,32,16,24,24,33,37,28,28,26.0
8,Jermaine Samuels Jr.,43,20,8,33,17,25,28,25,-1,16,36,16,20,16,36,36,17,16,24.0
9,Jack McVeigh,28,33,20,16,32,8,25,20,16,-1,24,25,16,24,24,20,20,25,22.12
10,Jock Landale,29,16,24,13,33,25,28,32,36,24,-1,4,20,28,13,33,36,28,24.82
11,Aaron Holiday,16,29,12,16,0,32,25,16,16,25,4,-1,20,12,24,20,16,29,18.35
12,Nate Hinton,8,20,21,20,28,24,24,24,20,16,20,20,-1,32,28,12,28,12,21.0
13,Jeff Green,28,16,48,12,28,16,16,24,16,24,28,12,32,-1,24,20,16,20,22.35
14,Jalen Green,21,20,16,33,17,37,16,33,36,24,13,24,28,24,-1,36,21,16,24.41
15,Tari Eason,37,12,16,29,25,36,24,37,36,20,33,20,12,20,36,-1,21,8,24.82
16,Dillon Brooks,29,24,24,37,36,29,24,28,17,20,36,16,28,16,21,21,-1,43,26.41
17,Steven Adams,16,33,20,24,24,12,29,28,16,25,28,29,12,20,16,8,43,-1,22.53
