,Name,Enrique Freeman,Johnny Furphy,Tyrese Haliburton,Isaiah Jackson,Quenton Jackson,James Johnson,Bennedict Mathurin,T.J. McConnell,Andrew Nembhard,Aaron Nesmith,Tristen Newton,Ben Sheppard,Pascal Siakam,Obi Toppin,Myles Turner,Jarace Walker,James Wiseman,Average
0,Enrique Freeman,-1,20,20,24,32,8,20,24,12,20,36,20,28,20,20,12,24,21.25
1,Johnny Furphy,20,-1,25,35,29,21,29,16,12,15,20,12,24,36,20,41,20,23.44
2,Tyrese Haliburton,20,25,-1,4,17,25,25,24,24,24,20,12,28,41,24,32,24,23.06
3,Isaiah Jackson,24,35,4,-1,16,16,24,21,29,40,16,24,17,16,21,28,25,22.25
4,Quenton Jackson,32,29,17,16,-1,33,25,16,32,8,16,48,4,24,24,25,16,22.81
5,James Johnson,8,21,25,16,33,-1,33,20,16,20,16,24,16,21,16,29,24,21.12
6,Bennedict Mathurin,20,29,25,24,25,33,-1,16,24,28,12,12,24,29,12,33,20,22.88
7,T.J. McConnell,24,16,24,21,16,20,16,-1,17,17,12,25,45,20,28,16,25,21.38
8,Andrew Nembhard,12,12,24,29,32,16,24,17,-1,29,16,44,17,4,13,24,21,20.88
9,Aaron Nesmith,20,15,24,40,8,20,28,17,29,-1,16,24,29,24,21,24,17,22.25
10,Tristen Newton,36,20,20,16,16,16,12,12,16,16,-1,16,20,24,24,24,16,19.0
11,Ben Sheppard,20,12,12,24,48,24,12,25,44,24,16,-1,21,20,37,12,29,23.75
12,Pascal Siakam,28,24,28,17,4,16,24,45,17,29,20,21,-1,24,33,32,28,24.38
13,Obi Toppin,20,36,41,16,24,21,29,20,4,24,24,20,24,-1,16,24,12,22.19
14,Myles Turner,20,20,24,21,24,16,12,28,13,21,24,37,33,16,-1,12,37,22.38
15,Jarace Walker,12,41,32,28,25,29,33,16,24,24,24,12,32,24,12,-1,20,24.25
16,James Wiseman,24,20,24,25,16,24,20,25,21,17,16,29,28,12,37,20,-1,22.38
