,Name,Mo Bamba,Nicolas Batum,Kobe Brown,Cam Christie,Amir Coffey,Nate Darling,Kris Dunn,Trentyn Flowers,James Harden,Bones Hyland,Kai Jones,Derrick Jones Jr.,Braxton Key,Kawhi Leonard,Terance Mann,Jordan Miller,Kevin Porter Jr.,Norman Powell,P.J. Tucker,Ivica Zubac,Average
0,Mo Bamba,-1,32,16,25,12,20,24,16,12,24,24,17,44,16,16,17,12,32,33,24,21.89
1,Nicolas Batum,32,-1,16,16,32,17,21,44,25,36,12,32,28,16,24,8,28,21,16,21,23.42
2,Kobe Brown,16,16,-1,20,20,24,20,20,24,24,17,20,12,24,28,16,21,12,20,20,19.68
3,Cam Christie,25,16,20,-1,8,8,32,15,16,20,23,13,33,12,20,36,28,20,25,32,21.16
4,Amir Coffey,12,32,20,8,-1,21,32,25,37,36,16,16,8,12,12,28,20,17,24,28,21.26
5,Nate Darling,20,17,24,8,21,-1,25,25,41,21,20,16,8,24,28,23,24,29,20,9,21.21
6,Kris Dunn,24,21,20,32,32,25,-1,25,25,44,20,20,24,24,12,16,12,33,24,28,24.26
7,Trentyn Flowers,16,44,20,15,25,25,25,-1,37,32,16,23,23,16,28,24,16,29,12,33,24.16
8,James Harden,12,25,24,16,37,41,25,37,-1,9,24,35,31,20,20,24,20,32,16,21,24.68
9,Bones Hyland,24,36,24,20,36,21,44,32,9,-1,20,8,28,40,12,16,8,37,28,48,25.84
10,Kai Jones,24,12,17,23,16,20,20,16,24,20,-1,8,20,37,25,28,48,16,24,16,21.79
11,Derrick Jones Jr.,17,32,20,13,16,16,20,23,35,8,8,-1,36,20,28,21,20,28,17,16,20.74
12,Braxton Key,44,28,12,33,8,8,24,23,31,28,20,36,-1,24,16,25,20,40,29,28,25.11
13,Kawhi Leonard,16,16,24,12,12,24,24,16,20,40,37,20,24,-1,25,24,21,16,8,12,20.58
14,Terance Mann,16,24,28,20,12,28,12,28,20,12,25,28,16,25,-1,20,36,24,20,24,22.0
15,Jordan Miller,17,8,16,36,28,23,16,24,24,16,28,21,25,24,20,-1,20,20,25,24,21.84
16,Kevin Porter Jr.,12,28,21,28,20,24,12,16,20,8,48,20,20,21,36,20,-1,16,20,12,21.16
17,Norman Powell,32,21,12,20,17,29,33,29,32,37,16,28,40,16,24,20,16,-1,28,33,25.42
18,P.J. Tucker,33,16,20,25,24,20,24,12,16,28,24,17,29,8,20,25,20,28,-1,24,21.74
19,Ivica Zubac,24,21,20,32,28,9,28,33,21,48,16,16,28,12,24,24,12,33,24,-1,23.84
