,Name,Colin Castleton,Max Christie,Anthony Davis,Rui Hachimura,Jaxson Hayes,Jalen Hood-Schifino,Bronny James,LeBron James,Dalton Knecht,Christian Koloko,Maxwell Lewis,Quincy Olivari,Austin Reaves,Cam Reddish,D'Angelo Russell,Jarred Vanderbilt,Gabe Vincent,Christian Wood,Average
0,Colin Castleton,-1,31,13,20,32,25,12,20,8,13,20,36,29,33,40,12,29,20,23.12
1,Max Christie,31,-1,12,29,24,20,32,12,12,16,29,39,20,12,28,8,32,20,22.12
2,Anthony Davis,13,12,-1,16,13,29,16,20,32,29,28,21,21,29,29,24,29,20,22.41
3,Rui Hachimura,20,29,16,-1,16,24,32,36,12,12,25,12,12,20,20,28,20,24,21.06
4,Jaxson Hayes,32,24,13,16,-1,17,20,20,20,17,20,37,37,41,32,20,29,24,24.65
5,Jalen Hood-Schifino,25,20,29,24,17,-1,20,20,28,36,24,17,37,21,44,8,37,24,25.35
6,Bronny James,12,32,16,32,20,20,-1,44,29,24,24,20,20,24,24,40,16,37,25.53
7,LeBron James,20,12,20,36,20,20,44,-1,21,27,16,20,20,20,20,44,16,37,24.29
8,Dalton Knecht,8,12,32,12,20,28,29,21,-1,28,36,12,28,20,32,25,20,21,22.59
9,Christian Koloko,13,16,29,12,17,36,24,27,28,-1,8,25,29,13,25,16,33,24,22.06
10,Maxwell Lewis,20,29,28,25,20,24,24,16,36,8,-1,23,16,12,24,20,16,24,21.47
11,Quincy Olivari,36,39,21,12,37,17,20,20,12,25,23,-1,32,21,33,16,29,24,24.53
12,Austin Reaves,29,20,21,12,37,37,20,20,28,29,16,32,-1,28,37,12,28,12,24.59
13,Cam Reddish,33,12,29,20,41,21,24,20,20,13,12,21,28,-1,32,32,21,20,23.47
14,D'Angelo Russell,40,28,29,20,32,44,24,20,32,25,24,33,37,32,-1,16,29,20,28.53
15,Jarred Vanderbilt,12,8,24,28,20,8,40,44,25,16,20,16,12,32,16,-1,12,36,21.71
16,Gabe Vincent,29,32,29,20,29,37,16,16,20,33,16,29,28,21,29,12,-1,16,24.24
17,Christian Wood,20,20,20,24,24,24,37,37,21,24,24,24,12,20,20,36,16,-1,23.71
