,Name,Vince Williams Jr.,Jaylen Wells,Cam Spencer,Marcus Smart,Scotty Pippen Jr.,Maozinha Pereira,Miye Oni,Miles Norris,Ja Morant,Jake LaRavia,John Konchar,Luke Kennard,Yuki Kawamura,Jaren Jackson Jr.,GG Jackson II,Jay Huff,Zach Edey,Brandon Clarke,Desmond Bane,Armando Bacot,Santi Aldama,Average
0,Vince Williams Jr.,-1,33,12,44,36,24,16,20,12,24,28,20,32,16,33,37,20,33,20,36,12,25.4
1,Jaylen Wells,33,-1,24,29,24,33,32,8,24,12,20,24,24,32,25,28,16,17,16,21,20,23.1
2,Cam Spencer,12,24,-1,32,28,16,16,25,20,20,29,13,31,24,32,32,16,32,25,16,28,23.55
3,Marcus Smart,44,29,32,-1,28,29,8,16,16,24,16,20,24,12,40,17,24,25,32,48,20,25.2
4,Scotty Pippen Jr.,36,24,28,28,-1,28,25,36,28,21,24,16,40,25,20,12,36,20,32,24,16,25.95
5,Maozinha Pereira,24,33,16,29,28,-1,24,16,20,20,12,20,28,24,29,33,24,25,20,25,12,23.1
6,Miye Oni,16,32,16,8,25,24,-1,16,45,36,12,8,28,33,8,16,25,8,8,16,16,19.8
7,Miles Norris,20,8,25,16,36,16,16,-1,12,20,29,13,12,27,20,16,12,36,25,24,37,21.0
8,Ja Morant,12,24,20,16,28,20,45,12,-1,25,20,16,29,40,12,20,37,16,8,24,12,21.8
9,Jake LaRavia,24,12,20,24,21,20,36,20,25,-1,12,20,40,17,32,16,25,20,16,16,16,21.6
10,John Konchar,28,20,29,16,24,12,12,29,20,12,-1,36,19,20,24,16,16,31,40,28,33,23.25
11,Luke Kennard,20,24,13,20,16,20,8,13,16,20,36,-1,8,16,27,20,16,16,40,16,21,19.3
12,Yuki Kawamura,32,24,31,24,40,28,28,12,29,40,19,8,-1,36,24,31,21,28,12,12,12,24.55
13,Jaren Jackson Jr.,16,32,24,12,25,24,33,27,40,17,20,16,36,-1,12,24,21,16,20,28,16,22.95
14,GG Jackson II,33,25,32,40,20,29,8,20,12,32,24,27,24,12,-1,21,24,44,31,44,12,25.7
15,Jay Huff,37,28,32,17,12,33,16,16,20,16,16,20,31,24,21,-1,16,17,12,17,28,21.45
16,Zach Edey,20,16,16,24,36,24,25,12,37,25,16,16,21,21,24,16,-1,24,16,28,16,21.65
17,Brandon Clarke,33,17,32,25,20,25,8,36,16,20,31,16,28,16,44,17,24,-1,28,33,28,24.85
18,Desmond Bane,20,16,25,32,32,20,8,25,8,16,40,40,12,20,31,12,16,28,-1,24,21,22.3
19,Armando Bacot,36,21,16,48,24,25,16,24,24,16,28,16,12,28,44,17,28,33,24,-1,16,24.8
20,Santi Aldama,12,20,28,20,16,12,16,37,12,16,33,21,12,16,12,28,16,28,21,16,-1,19.6
