,Name,Bam Adebayo,Thomas Bryant,Alec Burks,Jimmy Butler,Josh Christopher,Tyler Herro,Haywood Highsmith,Jaime Jaquez Jr.,Keshad Johnson,Nikola Jovic,Pelle Larsson,Nassir Little,Kevin Love,Zyon Pullin,Josh Richardson,Duncan Robinson,Terry Rozier,Dru Smith,Isaiah Stevens,Kel'el Ware,Warren Washington,Average
0,Bam Adebayo,-1,20,40,20,24,36,20,20,25,28,16,24,12,8,16,12,20,21,24,43,12,22.05
1,Thomas Bryant,20,-1,28,20,24,27,20,16,24,24,20,33,27,28,12,13,12,20,40,13,32,22.65
2,Alec Burks,40,28,-1,24,16,52,16,12,25,20,16,16,32,16,28,23,28,21,12,31,12,23.4
3,Jimmy Butler,20,20,24,-1,29,28,28,29,16,33,33,24,29,36,44,24,44,24,12,20,32,27.45
4,Josh Christopher,24,24,16,29,-1,28,28,29,24,32,29,20,32,32,29,28,21,16,16,24,36,25.85
5,Tyler Herro,36,27,52,28,28,-1,24,8,29,8,12,16,20,12,28,28,28,29,16,35,8,23.6
6,Haywood Highsmith,20,20,16,28,28,24,-1,25,28,32,29,28,25,24,28,32,21,16,16,20,32,24.6
7,Jaime Jaquez Jr.,20,16,12,29,29,8,25,-1,24,29,37,24,21,33,17,28,17,24,16,16,25,22.5
8,Keshad Johnson,25,24,25,16,24,29,28,24,-1,16,16,12,16,20,16,32,20,28,24,24,20,21.95
9,Nikola Jovic,28,24,20,33,32,8,32,29,16,-1,25,24,32,29,33,24,17,20,28,16,33,25.15
10,Pelle Larsson,16,20,16,33,29,12,29,37,16,25,-1,20,25,37,21,20,21,32,20,20,33,24.1
11,Nassir Little,24,33,16,24,20,16,28,24,12,24,20,-1,20,16,20,21,20,24,21,21,24,21.4
12,Kevin Love,12,27,32,29,32,20,25,21,16,32,25,20,-1,40,44,24,25,28,28,20,36,26.8
13,Zyon Pullin,8,28,16,36,32,12,24,33,20,29,37,16,40,-1,32,12,29,20,20,20,36,25.0
14,Josh Richardson,16,12,28,44,29,28,28,17,16,33,21,20,44,32,-1,28,36,16,20,32,40,27.0
15,Duncan Robinson,12,13,23,24,28,28,32,28,32,24,20,21,24,12,28,-1,20,16,28,32,8,22.65
16,Terry Rozier,20,12,28,44,21,28,21,17,20,17,21,20,25,29,36,20,-1,20,16,12,25,22.6
17,Dru Smith,21,20,21,24,16,29,16,24,28,20,32,24,28,20,16,16,20,-1,36,16,24,22.55
18,Isaiah Stevens,24,40,12,12,16,16,16,16,24,28,20,21,28,20,20,28,16,36,-1,36,20,22.45
19,Kel'el Ware,43,13,31,20,24,35,20,16,24,16,20,21,20,20,32,32,12,16,36,-1,16,23.35
20,Warren Washington,12,32,12,32,36,8,32,25,20,33,33,24,36,36,40,8,25,24,20,16,-1,25.2
