,Name,Nickeil Alexander-Walker,Keita Bates-Diop,Jaylen Clark,Mike Conley,Donte DiVincenzo,Rob Dillingham,PJ Dozier,Anthony Edwards,Jesse Edwards,Luka Garza,Rudy Gobert,Joe Ingles,Jaden McDaniels,Leonard Miller,Josh Minott,Julius Randle,Naz Reid,Terrence Shannon Jr.,Average
0,Nickeil Alexander-Walker,-1,20,23,16,16,24,12,12,33,12,32,16,8,21,21,24,29,8,19.24
1,Keita Bates-Diop,20,-1,16,12,29,20,40,13,20,16,20,28,28,28,20,8,20,36,22.0
2,Jaylen Clark,23,16,-1,37,12,29,32,20,24,25,17,21,5,16,20,35,28,28,22.82
3,Mike Conley,16,12,37,-1,16,40,28,32,8,17,17,29,17,16,28,40,4,20,22.18
4,Donte DiVincenzo,16,29,12,16,-1,12,21,40,32,12,24,16,28,16,20,16,20,36,21.53
5,Rob Dillingham,24,20,29,40,12,-1,32,32,32,25,36,21,25,24,12,16,20,16,24.47
6,PJ Dozier,12,40,32,28,21,32,-1,21,16,12,24,12,23,24,20,40,20,29,23.88
7,Anthony Edwards,12,13,20,32,40,32,21,-1,16,8,20,16,16,0,32,24,16,25,20.18
8,Jesse Edwards,33,20,24,8,32,32,16,16,-1,12,28,20,31,33,21,25,37,16,23.76
9,Luka Garza,12,16,25,17,12,25,12,8,12,-1,28,36,32,32,12,24,12,20,19.71
10,Rudy Gobert,32,20,17,17,24,36,24,20,28,28,-1,21,40,12,12,8,24,4,21.59
11,Joe Ingles,16,28,21,29,16,21,12,16,20,36,21,-1,28,28,20,8,4,20,20.24
12,Jaden McDaniels,8,28,5,17,28,25,23,16,31,32,40,28,-1,28,20,16,20,20,22.65
13,Leonard Miller,21,28,16,16,16,24,24,0,33,32,12,28,28,-1,36,25,32,24,23.24
14,Josh Minott,21,20,20,28,20,12,20,32,21,12,12,20,20,36,-1,41,32,39,23.88
15,Julius Randle,24,8,35,40,16,16,40,24,25,24,8,8,16,25,41,-1,25,32,23.94
16,Naz Reid,29,20,28,4,20,20,20,16,37,12,24,4,20,32,32,25,-1,16,21.12
17,Terrence Shannon Jr.,8,36,28,20,36,16,29,25,16,20,4,20,20,24,39,32,16,-1,22.88
