,Name,Zion Williamson,Daniel Theis,Jeremiah Robinson-Earl,Antonio Reeves,Dejounte Murray,Trey Murphy III,Yves Missi,CJ McCollum,Karlo Matkovic,Herbert Jones,Trey Jemison,Brandon Ingram,Malcolm Hill,Jordan Hawkins,Javonte Green,Jamal Cain,Jose Alvarado,Average
0,Zion Williamson,-1,40,16,24,32,24,16,24,41,32,12,32,12,12,8,16,29,23.12
1,Daniel Theis,40,-1,12,24,12,24,16,12,29,40,16,20,20,28,24,36,41,24.62
2,Jeremiah Robinson-Earl,16,12,-1,25,24,24,29,20,24,16,16,20,21,36,21,24,12,21.25
3,Antonio Reeves,24,24,25,-1,31,12,40,35,12,20,16,16,29,25,29,24,12,23.38
4,Dejounte Murray,32,12,24,31,-1,24,20,44,20,20,13,33,12,12,28,28,24,23.56
5,Trey Murphy III,24,24,24,12,24,-1,24,28,16,28,13,25,12,12,16,40,20,21.38
6,Yves Missi,16,16,29,40,20,24,-1,20,32,16,16,12,21,21,33,31,28,23.44
7,CJ McCollum,24,12,20,35,44,28,20,-1,16,20,21,33,12,20,36,36,20,24.81
8,Karlo Matkovic,41,29,24,12,20,16,32,16,-1,40,32,28,16,20,16,24,13,23.69
9,Herbert Jones,32,40,16,20,20,28,16,20,40,-1,16,8,20,12,8,8,44,21.75
10,Trey Jemison,12,16,16,16,13,13,16,21,32,16,-1,28,23,28,20,21,16,19.19
11,Brandon Ingram,32,20,20,16,33,25,12,33,28,8,28,-1,20,28,24,33,12,23.25
12,Malcolm Hill,12,20,21,29,12,12,21,12,16,20,23,20,-1,36,37,20,24,20.94
13,Jordan Hawkins,12,28,36,25,12,12,21,20,20,12,28,28,36,-1,21,23,16,21.88
14,Javonte Green,8,24,21,29,28,16,33,36,16,8,20,24,37,21,-1,24,24,23.06
15,Jamal Cain,16,36,24,24,28,40,31,36,24,8,21,33,20,23,24,-1,20,25.5
16,Jose Alvarado,29,41,12,12,24,20,28,20,13,44,16,12,24,16,24,20,-1,22.19
