,Name,Precious Achiuwa,OG Anunoby,Mikal Bridges,Moses Brown,Jalen Brunson,Pacome Dadiet,Josh Hart,Ariel Hukporti,Tyler Kolek,Miles McBride,Kevin McCullar Jr.,Chuma Okeke,Cameron Payne,Mitchell Robinson,Landry Shamet,Jericho Sims,Jacob Toppin,Karl-Anthony Towns,T.J. Warren,Average
0,Precious Achiuwa,-1,16,21,12,21,20,21,12,16,49,40,24,12,28,28,16,28,24,33,23.39
1,OG Anunoby,16,-1,12,21,8,36,12,33,25,20,16,20,12,33,16,25,24,32,8,20.5
2,Mikal Bridges,21,12,-1,8,36,12,32,24,28,29,25,8,12,20,33,8,16,8,29,20.06
3,Moses Brown,12,21,8,-1,16,24,8,40,13,16,8,16,24,48,12,41,28,12,16,20.17
4,Jalen Brunson,21,8,36,16,-1,20,36,16,28,33,21,28,28,20,25,24,12,24,37,24.06
5,Pacome Dadiet,20,36,12,24,20,-1,8,24,28,4,16,13,17,24,12,24,17,25,8,18.44
6,Josh Hart,21,12,32,8,36,8,-1,16,20,40,25,20,20,12,25,20,36,16,36,22.39
7,Ariel Hukporti,12,33,24,40,16,24,16,-1,32,16,24,12,16,41,16,40,16,20,8,22.56
8,Tyler Kolek,16,25,28,13,28,28,20,32,-1,16,24,8,20,25,24,21,20,28,24,22.22
9,Miles McBride,49,20,29,16,33,4,40,16,16,-1,36,20,12,16,28,12,36,16,41,24.44
10,Kevin McCullar Jr.,40,16,25,8,21,16,25,24,24,36,-1,20,24,20,29,20,20,28,29,23.61
11,Chuma Okeke,24,20,8,16,28,13,20,12,8,20,20,-1,45,16,16,24,29,39,24,21.22
12,Cameron Payne,12,12,12,24,28,17,20,16,20,12,24,45,-1,16,12,28,32,25,28,21.28
13,Mitchell Robinson,28,33,20,48,20,24,12,41,25,16,20,16,16,-1,12,25,16,20,16,22.67
14,Landry Shamet,28,16,33,12,25,12,25,16,24,28,29,16,12,12,-1,12,16,24,17,19.83
15,Jericho Sims,16,25,8,41,24,24,20,40,21,12,20,24,28,25,12,-1,16,16,28,22.22
16,Jacob Toppin,28,24,16,28,12,17,36,16,20,36,20,29,32,16,16,16,-1,28,16,22.56
17,Karl-Anthony Towns,24,32,8,12,24,25,16,20,28,16,28,39,25,20,24,16,28,-1,20,22.5
18,T.J. Warren,33,8,29,16,37,8,36,8,24,41,29,24,28,16,17,28,16,20,-1,23.22
