,Name,Alex Caruso,Ousmane Dieng,Luguentz Dort,Alex Ducas,Adam Flagler,Shai Gilgeous-Alexander,Isaiah Hartenstein,Chet Holmgren,Isaiah Joe,Dillon Jones,Malevy Leons,Ajay Mitchell,Nikola Topic,Cason Wallace,Aaron Wiggins,Jalen Williams,Jaylin Williams,Kenrich Williams,Average
0,Alex Caruso,-1,24,16,33,36,8,20,8,20,20,25,20,20,24,24,24,24,32,22.24
1,Ousmane Dieng,24,-1,24,16,39,20,33,25,20,29,20,20,37,25,8,16,8,24,22.82
2,Luguentz Dort,16,24,-1,32,28,25,4,8,29,31,16,17,24,35,13,21,13,24,21.18
3,Alex Ducas,33,16,32,-1,33,16,32,16,32,12,17,16,32,16,20,20,16,29,22.82
4,Adam Flagler,36,39,28,33,-1,12,24,12,16,16,24,16,12,32,16,24,16,44,23.53
5,Shai Gilgeous-Alexander,8,20,25,16,12,-1,12,12,33,8,24,17,12,28,39,40,25,20,20.65
6,Isaiah Hartenstein,20,33,4,32,24,12,-1,37,20,44,28,24,29,24,24,20,20,20,24.41
7,Chet Holmgren,8,25,8,16,12,12,37,-1,16,48,12,24,21,36,35,12,20,16,21.06
8,Isaiah Joe,20,20,29,32,16,33,20,16,-1,20,20,25,16,16,44,29,29,24,24.06
9,Dillon Jones,20,29,31,12,16,8,44,48,20,-1,24,24,25,29,24,8,28,20,24.12
10,Malevy Leons,25,20,16,17,24,24,28,12,20,24,-1,27,16,24,24,12,28,25,21.53
11,Ajay Mitchell,20,20,17,16,16,17,24,24,25,24,27,-1,24,16,51,13,41,8,22.53
12,Nikola Topic,20,37,24,32,12,12,29,21,16,25,16,24,-1,24,24,24,8,24,21.88
13,Cason Wallace,24,25,35,16,32,28,24,36,16,29,24,16,24,-1,16,24,20,16,23.82
14,Aaron Wiggins,24,8,13,20,16,39,24,35,44,24,24,51,24,16,-1,25,36,16,25.82
15,Jalen Williams,24,16,21,20,24,40,20,12,29,8,12,13,24,24,25,-1,29,20,21.24
16,Jaylin Williams,24,8,13,16,16,25,20,20,29,28,28,41,8,20,36,29,-1,16,22.18
17,Kenrich Williams,32,24,24,29,44,20,20,16,24,20,25,8,24,16,16,20,16,-1,22.24
