,Name,Cole Anthony,Paolo Banchero,Goga Bitadze,Anthony Black,Kentavious Caldwell-Pope,Wendell Carter Jr.,Jarrett Culver,Tristan da Silva,Gary Harris,Caleb Houstan,Jett Howard,Jonathan Isaac,Cory Joseph,Mac McClung,Alex Morales,Trevelin Queen,Jalen Slawson,Jalen Suggs,Ethan Thompson,Franz Wagner,Moritz Wagner,Average
0,Cole Anthony,-1,40,28,25,31,20,16,44,24,32,16,12,36,8,36,16,24,8,21,16,17,23.5
1,Paolo Banchero,40,-1,32,29,27,24,19,40,28,20,24,8,25,32,29,20,16,20,36,12,17,24.9
2,Goga Bitadze,28,32,-1,31,32,40,24,24,32,24,20,25,28,25,24,16,48,20,32,16,4,26.25
3,Anthony Black,25,29,31,-1,43,35,24,17,24,28,24,24,25,31,29,12,23,20,33,20,13,25.5
4,Kentavious Caldwell-Pope,31,27,32,43,-1,28,32,20,29,24,25,16,39,24,39,29,32,17,24,36,12,27.95
5,Wendell Carter Jr.,20,24,40,35,28,-1,20,8,16,25,28,33,28,29,24,20,32,28,28,20,28,25.7
6,Jarrett Culver,16,19,24,24,32,20,-1,16,13,16,13,20,35,20,28,33,24,21,20,40,28,23.1
7,Tristan da Silva,44,40,24,17,20,8,16,-1,24,32,28,20,33,12,44,20,12,8,29,16,21,23.4
8,Gary Harris,24,28,32,24,29,16,13,24,-1,19,44,8,4,36,20,13,20,13,20,13,16,20.8
9,Caleb Houstan,32,20,24,28,24,25,16,32,19,-1,28,29,12,21,16,16,29,28,20,24,16,22.95
10,Jett Howard,16,24,20,24,25,28,13,28,44,28,-1,12,20,28,12,25,24,25,28,29,27,24.0
11,Jonathan Isaac,12,8,25,24,16,33,20,20,8,29,12,-1,20,29,24,24,21,24,12,24,20,20.25
12,Cory Joseph,36,25,28,25,39,28,35,33,4,12,20,20,-1,24,44,31,32,16,33,36,17,26.9
13,Mac McClung,8,32,25,31,24,29,20,12,36,21,28,29,24,-1,16,24,17,28,24,24,20,23.6
14,Alex Morales,36,29,24,29,39,24,28,44,20,16,12,24,44,16,-1,16,28,12,21,23,25,25.5
15,Trevelin Queen,16,20,16,12,29,20,33,20,13,16,25,24,31,24,16,-1,16,33,20,36,20,22.0
16,Jalen Slawson,24,16,48,23,32,32,24,12,20,29,24,21,32,17,28,16,-1,20,24,12,23,23.85
17,Jalen Suggs,8,20,20,20,17,28,21,8,13,28,25,24,16,28,12,33,20,-1,20,25,28,20.7
18,Ethan Thompson,21,36,32,33,24,28,20,29,20,20,28,12,33,24,21,20,24,20,-1,28,41,25.7
19,Franz Wagner,16,12,16,20,36,20,40,16,13,24,29,24,36,24,23,36,12,25,28,-1,20,23.5
20,Moritz Wagner,17,17,4,13,12,28,28,21,16,16,27,20,17,20,25,20,23,28,41,20,-1,20.65
