,Name,Adem Bona,Ricky Council IV,Jeff Dowtin Jr.,Andre Drummond,Justin Edwards,Joel Embiid,Paul George,Eric Gordon,Reggie Jackson,Kyle Lowry,Caleb Martin,KJ Martin,Tyrese Maxey,Jared McCain,Kelly Oubre Jr.,Lester Quinones,Guerschon Yabusele,Average
0,Adem Bona,-1,24,28,20,24,20,28,33,29,33,28,21,20,24,12,16,24,24.0
1,Ricky Council IV,24,-1,21,29,16,20,36,24,20,24,12,24,36,12,20,29,12,22.44
2,Jeff Dowtin Jr.,28,21,-1,39,20,20,41,24,20,24,16,8,44,16,24,28,16,24.31
3,Andre Drummond,20,29,39,-1,28,16,49,20,12,4,12,16,21,24,28,25,36,23.69
4,Justin Edwards,24,16,20,28,-1,44,28,16,20,20,8,16,20,21,25,24,44,23.38
5,Joel Embiid,20,20,20,16,44,-1,31,24,20,16,27,20,20,17,25,24,36,23.75
6,Paul George,28,36,41,49,28,31,-1,12,20,8,20,20,32,16,20,29,24,25.88
7,Eric Gordon,33,24,24,20,16,24,12,-1,32,36,40,25,16,24,16,16,12,23.12
8,Reggie Jackson,29,20,20,12,20,20,20,32,-1,29,29,29,12,16,12,20,32,22.0
9,Kyle Lowry,33,24,24,4,20,16,8,36,29,-1,48,29,12,4,12,32,12,21.44
10,Caleb Martin,28,12,16,12,8,27,20,40,29,48,-1,25,4,16,12,39,8,21.5
11,KJ Martin,21,24,8,16,16,20,20,25,29,29,25,-1,16,16,24,20,12,20.06
12,Tyrese Maxey,20,36,44,21,20,20,32,16,12,12,4,16,-1,16,20,21,16,20.38
13,Jared McCain,24,12,16,24,21,17,16,24,16,4,16,16,16,-1,21,20,37,18.75
14,Kelly Oubre Jr.,12,20,24,28,25,25,20,16,12,12,12,24,20,21,-1,12,29,19.5
15,Lester Quinones,16,29,28,25,24,24,29,16,20,32,39,20,21,20,12,-1,16,23.19
16,Guerschon Yabusele,24,12,16,36,44,36,24,12,32,12,8,12,16,37,29,16,-1,22.88
