,Name,Grayson Allen,Bradley Beal,Bol Bol,Devin Booker,Jalen Bridges,Ryan Dunn,Kevin Durant,Collin Gillespie,Oso Ighodaro,Tyus Jones,Frank Kaminsky,Damion Lee,Monte Morris,Jusuf Nurkic,Royce O'Neale,Josh Okogie,Mason Plumlee,Average
0,Grayson Allen,-1,13,8,8,28,33,37,17,37,24,51,21,21,12,12,16,16,22.12
1,Bradley Beal,13,-1,24,40,12,44,32,29,33,16,25,36,48,24,24,20,39,28.69
2,Bol Bol,8,24,-1,17,40,12,20,20,8,48,8,24,8,20,20,20,16,19.56
3,Devin Booker,8,40,17,-1,9,24,24,24,20,21,12,48,28,28,20,32,32,24.19
4,Jalen Bridges,28,12,40,9,-1,20,16,12,24,41,16,12,16,8,28,12,8,18.88
5,Ryan Dunn,33,44,12,24,20,-1,25,21,28,16,44,25,25,24,16,32,31,26.25
6,Kevin Durant,37,32,20,24,16,25,-1,29,48,16,28,17,28,16,16,24,16,24.5
7,Collin Gillespie,17,29,20,24,12,21,29,-1,25,20,29,29,36,20,24,24,24,23.94
8,Oso Ighodaro,37,33,8,20,24,28,48,25,-1,12,40,13,33,12,20,20,20,24.56
9,Tyus Jones,24,16,48,21,41,16,16,20,12,-1,20,20,24,12,20,12,28,21.88
10,Frank Kaminsky,51,25,8,12,16,44,28,29,40,20,-1,13,29,16,12,32,16,24.44
11,Damion Lee,21,36,24,48,12,25,17,29,13,20,13,-1,29,39,28,32,24,25.62
12,Monte Morris,21,48,8,28,16,25,28,36,33,24,29,29,-1,20,20,24,35,26.5
13,Jusuf Nurkic,12,24,20,28,8,24,16,20,12,12,16,39,20,-1,37,33,33,22.12
14,Royce O'Neale,12,24,20,20,28,16,16,24,20,20,12,28,20,37,-1,25,36,22.38
15,Josh Okogie,16,20,20,32,12,32,24,24,20,12,32,32,24,33,25,-1,40,24.88
16,Mason Plumlee,16,39,16,32,8,31,16,24,20,28,16,24,35,33,36,40,-1,25.88
