,Name,Deni Avdija,Deandre Ayton,Dalano Banton,Toumani Camara,Donovan Clingan,Jerami Grant,Scoot Henderson,Bryce McGowens,Justin Minaya,Kris Murray,Duop Reath,Rayan Rupert,Shaedon Sharpe,Anfernee Simons,Matisse Thybulle,Jabari Walker,Robert Williams III,Average
0,Deni Avdija,-1,20,16,32,20,12,28,28,21,28,32,20,16,16,31,24,25,23.06
1,Deandre Ayton,20,-1,9,41,4,20,29,13,40,25,24,16,20,24,20,37,0,21.38
2,Dalano Banton,16,9,-1,52,20,20,44,48,16,25,8,16,20,4,32,21,12,22.69
3,Toumani Camara,32,41,52,-1,24,24,37,40,20,21,16,8,8,12,20,37,32,26.5
4,Donovan Clingan,20,4,20,24,-1,21,20,24,28,47,28,33,37,29,25,20,16,24.75
5,Jerami Grant,12,20,20,24,21,-1,8,28,32,16,16,21,13,28,37,12,12,20.0
6,Scoot Henderson,28,29,44,37,20,8,-1,40,16,17,16,8,4,20,32,44,16,23.69
7,Bryce McGowens,28,13,48,40,24,28,40,-1,16,17,20,8,16,20,32,21,20,24.44
8,Justin Minaya,21,40,16,20,28,32,16,16,-1,16,40,16,28,27,16,24,13,23.06
9,Kris Murray,28,25,25,21,47,16,17,17,16,-1,16,20,28,20,16,25,28,22.81
10,Duop Reath,32,24,8,16,28,16,16,20,40,16,-1,16,20,16,16,12,21,19.81
11,Rayan Rupert,20,16,16,8,33,21,8,8,16,20,16,-1,52,37,40,12,28,21.94
12,Shaedon Sharpe,16,20,20,8,37,13,4,16,28,28,20,52,-1,29,17,20,12,21.25
13,Anfernee Simons,16,24,4,12,29,28,20,20,27,20,16,37,29,-1,29,20,24,22.19
14,Matisse Thybulle,31,20,32,20,25,37,32,32,16,16,16,40,17,29,-1,28,16,25.44
15,Jabari Walker,24,37,21,37,20,12,44,21,24,25,12,12,20,20,28,-1,16,23.31
16,Robert Williams III,25,0,12,32,16,12,16,20,13,28,21,28,12,24,16,16,-1,18.19
