,Name,Blake Wesley,Victor Wembanyama,Devin Vassell,Jeremy Sochan,Chris Paul,Riley Minix,Sandro Mamukelashvili,Tre Jones,Keldon Johnson,Harrison Ingram,Malachi Flynn,David Duke Jr.,Zach Collins,Sidy Cissoko,Julian Champagnie,Stephon Castle,Malaki Branham,Brandon Boston Jr.,Charles Bassey,Harrison Barnes,Average
0,Blake Wesley,-1,28,36,28,8,32,29,20,24,25,24,12,20,16,24,32,24,29,20,25,24.0
1,Victor Wembanyama,28,-1,28,36,28,16,28,25,32,20,20,17,20,32,28,28,24,24,16,27,25.11
2,Devin Vassell,36,28,-1,27,12,21,40,28,24,33,16,20,19,20,20,20,12,33,20,25,23.89
3,Jeremy Sochan,28,36,27,-1,29,20,24,20,16,31,21,20,40,16,12,21,29,35,25,28,25.16
4,Chris Paul,8,28,12,29,-1,20,12,20,36,32,41,20,25,16,8,32,33,40,21,24,24.05
5,Riley Minix,32,16,21,20,20,-1,25,16,24,37,8,24,24,12,12,28,32,21,12,29,21.74
6,Sandro Mamukelashvili,29,28,40,24,12,25,-1,20,8,32,12,16,35,12,28,16,24,32,20,33,23.47
7,Tre Jones,20,25,28,20,20,16,20,-1,32,12,20,32,20,32,36,24,16,20,24,20,23.0
8,Keldon Johnson,24,32,24,16,36,24,8,32,-1,28,12,29,16,36,21,19,16,24,24,24,23.42
9,Harrison Ingram,25,20,33,31,32,37,32,12,28,-1,16,31,16,28,4,24,24,32,24,32,25.32
10,Malachi Flynn,24,20,16,21,41,8,12,20,12,16,-1,16,36,20,20,24,32,32,29,35,22.84
11,David Duke Jr.,12,17,20,20,20,24,16,32,29,31,16,-1,32,44,21,0,16,19,20,20,21.53
12,Zach Collins,20,20,19,40,25,24,35,20,16,16,36,32,-1,12,20,25,36,28,25,24,24.89
13,Sidy Cissoko,16,32,20,16,16,12,12,32,36,28,20,44,12,-1,13,28,12,24,20,20,21.74
14,Julian Champagnie,24,28,20,12,8,12,28,36,21,4,20,21,20,13,-1,36,20,16,24,8,19.53
15,Stephon Castle,32,28,20,21,32,28,16,24,19,24,24,0,25,28,36,-1,25,16,41,12,23.74
16,Malaki Branham,24,24,12,29,33,32,24,16,16,24,32,16,36,12,20,25,-1,32,29,27,24.37
17,Brandon Boston Jr.,29,24,33,35,40,21,32,20,24,32,32,19,28,24,16,16,32,-1,28,28,27.0
18,Charles Bassey,20,16,20,25,21,12,20,24,24,24,29,20,25,20,24,41,29,28,-1,20,23.26
19,Harrison Barnes,25,27,25,28,24,29,33,20,24,32,35,20,24,20,8,12,27,28,20,-1,24.26
