,Name,Ochai Agbaji,Scottie Barnes,RJ Barrett,Jamison Battle,Chris Boucher,Bruce Brown,Branden Carlson,D.J. Carton,Ulrich Chomche,Gradey Dick,Bruno Fernando,Davion Mitchell,Jonathan Mogbo,Kelly Olynyk,Jakob Poeltl,Immanuel Quickley,Jahmi'us Ramsey,Jared Rhoden,Jamal Shead,Garrett Temple,Ja'Kobe Walter,Average
0,Ochai Agbaji,-1,13,24,21,28,33,16,21,20,33,33,16,28,31,23,16,24,20,20,21,20,23.05
1,Scottie Barnes,13,-1,24,21,20,13,24,33,20,25,9,12,40,12,24,32,20,32,20,25,12,21.55
2,RJ Barrett,24,24,-1,12,16,16,32,16,20,27,16,29,12,28,20,28,37,21,28,16,17,21.95
3,Jamison Battle,21,21,12,-1,12,33,12,33,28,36,37,24,17,24,20,16,12,24,16,33,31,23.1
4,Chris Boucher,28,20,16,12,-1,24,28,16,33,8,16,24,20,29,36,12,28,15,25,12,20,21.1
5,Bruce Brown,33,13,16,33,24,-1,24,37,28,17,24,24,29,24,24,28,20,32,28,25,20,25.15
6,Branden Carlson,16,24,32,12,28,24,-1,20,32,8,8,33,24,20,20,33,41,29,44,8,25,24.05
7,D.J. Carton,21,33,16,33,16,37,20,-1,32,21,33,20,21,24,28,31,28,16,24,24,12,24.5
8,Ulrich Chomche,20,20,20,28,33,28,32,32,-1,16,20,16,20,25,37,36,24,28,44,8,20,25.35
9,Gradey Dick,33,25,27,36,8,17,8,21,16,-1,37,12,17,20,16,16,16,12,12,21,12,19.1
10,Bruno Fernando,33,9,16,37,16,24,8,33,20,37,-1,16,17,20,16,20,16,8,12,17,16,19.55
11,Davion Mitchell,16,12,29,24,24,24,33,20,16,12,16,-1,16,20,24,29,21,37,24,24,32,22.65
12,Jonathan Mogbo,28,40,12,17,20,29,24,21,20,17,17,16,-1,27,12,20,28,28,20,29,28,22.65
13,Kelly Olynyk,31,12,28,24,29,24,20,24,25,20,20,20,27,-1,36,24,20,12,32,8,8,22.2
14,Jakob Poeltl,23,24,20,20,36,24,20,28,37,16,16,24,12,36,-1,24,16,20,29,12,20,22.85
15,Immanuel Quickley,16,32,28,16,12,28,33,31,36,16,20,29,20,24,24,-1,33,25,28,12,17,24.0
16,Jahmi'us Ramsey,24,20,37,12,28,20,41,28,24,16,16,21,28,20,16,33,-1,33,16,12,13,22.9
17,Jared Rhoden,20,32,21,24,15,32,29,16,28,12,8,37,28,12,20,25,33,-1,28,28,37,24.25
18,Jamal Shead,20,20,28,16,25,28,44,24,44,12,12,24,20,32,29,28,16,28,-1,16,16,24.1
19,Garrett Temple,21,25,16,33,12,25,8,24,8,21,17,24,29,8,12,12,12,28,16,-1,40,19.55
20,Ja'Kobe Walter,20,12,17,31,20,20,25,12,20,12,16,32,28,8,20,17,13,37,16,40,-1,20.8
