,Name,Jordan Clarkson,Isaiah Collier,John Collins,Drew Eubanks,Kyle Filipowski,Keyonte George,Taylor Hendricks,Johnny Juzang,Walker Kessler,Lauri Markkanen,Patty Mills,Svi Mykhailiuk,Micah Potter,Jason Preston,Brice Sensabaugh,Collin Sexton,Oscar Tshiebwe,Cody Williams,Average
0,Jordan Clarkson,-1,16,12,16,20,20,28,29,20,25,16,33,24,24,16,20,21,24,21.41
1,Isaiah Collier,16,-1,5,24,16,24,24,8,44,24,40,20,40,32,16,44,24,20,24.76
2,John Collins,12,5,-1,16,32,24,16,31,28,32,20,8,13,12,12,21,28,24,19.65
3,Drew Eubanks,16,24,16,-1,40,40,29,16,36,28,40,28,28,32,9,16,24,25,26.29
4,Kyle Filipowski,20,16,32,40,-1,36,25,20,25,24,36,20,20,32,37,12,20,25,25.88
5,Keyonte George,20,24,24,40,36,-1,29,24,21,12,32,20,24,28,45,24,4,29,25.65
6,Taylor Hendricks,28,24,16,29,25,29,-1,24,17,38,17,16,24,21,25,28,16,28,23.82
7,Johnny Juzang,29,8,31,16,20,24,24,-1,24,33,16,13,16,8,24,32,21,20,21.12
8,Walker Kessler,20,44,28,36,25,21,17,24,-1,24,36,16,16,29,13,24,35,21,25.24
9,Lauri Markkanen,25,24,32,28,24,12,38,33,24,-1,24,13,16,12,12,16,52,31,24.47
10,Patty Mills,16,40,20,40,36,32,17,16,36,24,-1,19,15,28,25,23,24,25,25.65
11,Svi Mykhailiuk,33,20,8,28,20,20,16,13,16,13,19,-1,28,27,36,24,9,28,21.06
12,Micah Potter,24,40,13,28,20,24,24,16,16,16,15,28,-1,27,28,37,8,28,23.06
13,Jason Preston,24,32,12,32,32,28,21,8,29,12,28,27,27,-1,25,27,8,21,23.12
14,Brice Sensabaugh,16,16,12,9,37,45,25,24,13,12,25,36,28,25,-1,24,24,17,22.82
15,Collin Sexton,20,44,21,16,12,24,28,32,24,16,23,24,37,27,24,-1,16,24,24.24
16,Oscar Tshiebwe,21,24,28,24,20,4,16,21,35,52,24,9,8,8,24,16,-1,20,20.82
17,Cody Williams,24,20,24,25,25,29,28,20,21,31,25,28,28,21,17,24,20,-1,24.12
