,Name,Marvin Bagley III,Patrick Baldwin Jr.,Saddiq Bey,Malcolm Brogdon,Jared Butler,John Butler Jr.,Bub Carrington,Justin Champagnie,Bilal Coulibaly,Johnny Davis,Taylor Funk,Kyshawn George,Anthony Gill,Mouhamadou Gueye,Richaun Holmes,Corey Kispert,Kyle Kuzma,Jordan Poole,Alex Sarr,Jonas Valanciunas,Tristan Vukcevic,Average
0,Marvin Bagley III,-1,28,16,29,17,33,20,16,12,24,20,29,20,24,20,33,24,37,24,28,37,24.55
1,Patrick Baldwin Jr.,28,-1,24,12,16,20,28,12,37,4,33,20,4,24,4,24,29,16,41,33,16,21.25
2,Saddiq Bey,16,24,-1,20,20,24,25,25,20,28,24,24,32,32,40,12,8,20,24,20,20,22.9
3,Malcolm Brogdon,29,12,20,-1,21,37,12,28,8,24,12,32,28,12,24,25,28,36,24,20,32,23.2
4,Jared Butler,17,16,20,21,-1,17,12,28,12,20,24,13,16,20,0,29,12,25,20,24,25,18.55
5,John Butler Jr.,33,20,24,37,17,-1,16,12,20,20,20,41,16,24,32,32,20,25,24,20,29,24.1
6,Bub Carrington,20,28,25,12,12,16,-1,25,36,24,16,23,20,29,9,24,28,16,24,16,12,20.75
7,Justin Champagnie,16,12,25,28,28,12,25,-1,20,36,16,20,33,29,21,20,32,28,32,12,16,23.05
8,Bilal Coulibaly,12,37,20,8,12,20,36,20,-1,4,33,28,8,24,12,16,29,16,36,21,16,20.4
9,Johnny Davis,24,4,28,24,20,20,24,36,4,-1,16,16,37,13,44,28,35,12,27,20,20,22.6
10,Taylor Funk,20,33,24,12,24,20,16,16,33,16,-1,8,12,20,16,31,17,24,21,36,28,21.35
11,Kyshawn George,29,20,24,32,13,41,23,20,28,16,8,-1,20,16,28,13,39,44,24,20,28,24.3
12,Anthony Gill,20,4,32,28,16,16,20,33,8,37,12,20,-1,21,40,16,28,32,24,16,20,22.15
13,Mouhamadou Gueye,24,24,32,12,20,24,29,29,24,13,20,16,21,-1,13,16,20,12,20,16,16,20.05
14,Richaun Holmes,20,4,40,24,0,32,9,21,12,44,16,28,40,13,-1,4,20,24,20,20,28,20.95
15,Corey Kispert,33,24,12,25,29,32,24,20,16,28,31,13,16,16,4,-1,20,29,28,20,25,22.25
16,Kyle Kuzma,24,29,8,28,12,20,28,32,29,35,17,39,28,20,20,20,-1,23,36,17,16,24.05
17,Jordan Poole,37,16,20,36,25,25,16,28,16,12,24,44,32,12,24,29,23,-1,4,28,29,24.0
18,Alex Sarr,24,41,24,24,20,24,24,32,36,27,21,24,24,20,20,28,36,4,-1,21,24,24.9
19,Jonas Valanciunas,28,33,20,20,24,20,16,12,21,20,36,20,16,16,20,20,17,28,21,-1,20,21.4
20,Tristan Vukcevic,37,16,20,32,25,29,12,16,16,20,28,28,20,16,28,25,16,29,24,20,-1,22.85
