,Team,Name,Age,Birth Date,Birth Location
0,CLE,Kenny Atkinson,57,1967-06-02,"Huntington, New York"
1,DET,J.B. Bickerstaff,45,1979-03-10,"Denver, Colorado"
2,POR,Chauncey Billups,47,1976-09-25,"Denver, Colorado"
3,FA,James Borrego,46,1977-11-12,"Albuquerque, New Mexico"
4,SAC,Mike Brown,54,1970-03-05,"Columbus, Ohio"
5,PHX,Mike Budenholzer,54,1969-08-06,"Holbrook, Arizona"
6,IND,Rick Carlisle,64,1959-10-27,"Ogdensburg, New York"
7,FA,Dwane Casey,67,1957-04-17,"Indianapolis, Indiana"
8,FA,Steve Clifford,62,1961-09-17,"Island Falls, Maine"
9,OKC,Mark Daigneault,39,1985-02-23,"Leominster, Massachusetts"
10,CHI,Billy Donovan,59,1965-05-30,"Rockville Centre, New York"
11,BKN,Jordi Fernández,41,1982-12-27,"Badalona, Spain"
12,MIN,Chris Finch,54,1969-11-06,"Cambridge, Ohio"
13,FA,Alvin Gentry,69,1954-11-05,"Shelby, North Carolina"
14,NO,Willie Green,42,1981-07-28,"Detroit, Michigan"
15,FA,Adrian Griffin,49,1974-07-04,"Wichita, Kansas"
16,FA,Darvin Ham,50,1973-07-23,"Saginaw, Michigan"
17,UTAH,Will Hardy,36,1988-01-21,"Richmond, Virginia"
18,MEM,Taylor Jenkins,39,1984-09-12,"Arlington, Texas"
19,WSH,Brian Keefe,48,1976-04-07,"Winchester, Massachusetts"
20,GS,Steve Kerr,58,1965-09-27,"Beirut, Lebanon"
21,DAL,Jason Kidd,51,1973-03-23,"San Francisco, California"
22,CHA,Charles Lee,39,1984-11-11,"Washington, District of Columbia"
23,LAC,Tyronn Lue,47,1977-05-03,"Mexico, Missouri"
24,DEN,Michael Malone,52,1971-09-15,"Queens, New York"
25,BOS,Joe Mazzulla,36,1988-06-30,"Johnston, Rhode Island"
26,FA,Nate McMillan,59,1964-08-03,"Raleigh, North Carolina"
27,ORL,Jamahl Mosley,45,1978-10-06,"Milwaukee, Wisconsin"
28,FA,Steve Nash,50,1974-02-07,"Johannesburg, South Africa"
29,PHI,Nick Nurse,56,1967-07-24,"Carroll, Iowa"
30,FA,Kevin Ollie,51,1972-12-27,"Dallas, Texas"
31,SA,Gregg Popovich,75,1949-01-28,"East Chicago, Indiana"
32,FA,Joe Prunty,55,1969-02-12,"Sunnyvale, California"
33,TOR,Darko Rajakovic,45,1979-02-22,"Čačak, Serbia"
34,MIL,Doc Rivers,62,1961-10-13,"Chicago, Illinois"
35,FA,Stephen Silas,50,1973-08-06,"Boston, Massachusetts"
36,ATL,Quin Snyder,57,1966-10-30,"Mercer Island, Washington"
37,MIA,Erik Spoelstra,53,1970-11-01,"Evanston, Illinois"
38,NY,Tom Thibodeau,66,1958-01-17,"New Britain, Connecticut"
39,HOU,Ime Udoka,46,1977-08-09,"Portland, Oregon"
40,FA,Wes Unseld,48,1975-09-20,"Catonsville, Maryland"
41,FA,Jacque Vaughn,49,1975-02-11,"Los Angeles, California"
42,FA,Frank Vogel,51,1973-06-21,"Wildwood Crest, New Jersey"
43,FA,Luke Walton,44,1980-03-28,"San Diego, California"
44,FA,Monty Williams,52,1971-10-08,"Fredericksburg, Virginia"
45,LAL,JJ Redick,40,1984-06-24,"Cookeville, Tennessee"
