,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
0,FA,Jules Bernard,--,SG,"6' 7""",210,--,24,2000-01-21,"Los Angeles, California"
1,FA,Nico Mannion,--,PG,"6' 2""",190,--,23,2001-03-14,"Siena, Italy"
2,FA,Vit Krejci,--,PG,"6' 8""",195,--,24,2000-06-19,"Strakonice, Czechia"
3,FA,Johnny Juzang,--,SG,"6' 7""",215,--,23,2001-03-17,"Los Angeles, California"
4,FA,Ish Wainright,--,SF,"6' 6""",250,--,29,1994-09-12,"Kansas City, Missouri"
5,FA,Dylan Windler,--,SF,"6' 6""",196,--,27,1996-09-22,"Indianapolis, Indiana"
6,FA,Quenton Jackson,--,G,"6' 5""",175,--,25,1998-09-15,"Los Angeles, California"
7,FA,Jacob Gilyard,--,PG,"5' 9""",160,--,25,1998-07-14,"Kansas City, Missouri"
8,FA,Harry Giles,--,C,"6' 11""",240,--,26,1998-04-22,"Winston-Salem, North Carolina"
9,FA,Alondes Williams,--,G,"6' 4""",210,--,25,1999-06-19,"Milwaukee , Wisconsin"
10,FA,David Duke Jr.,--,SG,"6' 5""",205,--,24,1999-10-13,"Providence, Rhode Island"
11,FA,Skylar Mays,--,SG,"6' 4""",205,--,26,1997-09-05,"Baton Rouge, Louisiana"
12,FA,Duane Washington Jr.,--,PG,"6' 4""",195,--,24,1964-08-31,"Eschwege, Germany"
13,FA,Brandon Williams,--,PG,"6' 6""",215,--,24,1975-02-27,"Collinston, Louisiana"
14,FA,Henri Drell,--,SF,"6' 9""",187,--,24,2000-04-25,"Tallinn, Estonia"
15,FA,Drew Peterson,--,F,"6' 9""",205,--,24,1999-11-09,"Libertyville, Illinois"
16,FA,Ibou Badji,--,C,"7' 1""",240,--,21,2002-10-13,"Dakar, Senegal"
17,FA,Xavier Moon,--,SG,"6' 2""",165,--,29,1995-01-02,"Goodwater, Alabama"
18,FA,Keon Johnson,--,SG,"6' 5""",186,--,22,2002-03-10,"Shelbyville, Tennessee"
19,FA,Nate Hinton,--,SG,"6' 5""",210,--,25,1999-06-08,"Gastonia, North Carolina"
20,FA,Jerome Robinson,--,SG,"6' 4""",190,--,27,1997-02-22,"Raleigh, North Carolina"
21,FA,Daishen Nix,--,PG,"6' 5""",224,--,22,2002-02-13,"Anchorage, Alaska"
22,FA,Trevelin Queen,--,SG,"6' 6""",190,--,27,1997-02-25,"Baltimore, Maryland"
23,FA,Jordan Ford,--,PG,"6' 1""",175,--,26,1998-05-26,"Citrus Heights, California"
24,FA,Charlie Brown Jr.,--,SG,"6' 6""",199,--,26,1997-02-02,"Philadelphia, Pennsylvania"
25,FA,TyTy Washington Jr.,--,PG,"6' 3""",197,--,22,2001-11-15,"Phoenix, Arizona"
26,FA,Olivier Sarr,--,C,"7' 0""",237,--,25,1999-02-20,"Niort, France"
27,FA,Greg Brown III,--,PF,"6' 7""",205,--,22,2001-09-01,"Dallas, Texas"
28,FA,Cole Swider,--,F,"6' 9""",220,--,25,1999-05-08,"Portsmouth, Rhode Island"
29,FA,Jamal Cain,--,SF,"6' 7""",191,--,25,1999-03-20,"Pontiac, Michigan"
30,FA,Jeenathan Williams,--,SG,"6' 5""",205,--,25,1999-02-12,"Rochester, New York"
31,FA,Jermaine Samuels,--,SF,"6' 7""",230,--,25,1998-11-13,"Franklin, Massachusetts"
32,FA,Braxton Key,--,SF,"6' 8""",230,--,27,1997-02-14,"Charlotte, North Carolina"
33,FA,Moussa Diabate,--,PF,"6' 11""",210,--,22,2002-01-21,"Paris, France"
34,FA,Jay Huff,--,C,"7' 1""",240,--,25,1998-08-25,"Durham, North Carolina"
35,FA,Saben Lee,--,PG,"6' 2""",183,--,25,1999-06-23,"St. Louis, Missouri"
36,FA,Amari Bailey,--,PG,"6' 5""",185,--,20,2004-02-17,"New Orleans, Louisiana"
37,FA,Adama Sanogo,--,PF,"6' 9""",245,--,22,2002-02-12,"Bamako, Mali"
38,FA,J.D. Davison,--,PG,"6' 1""",195,--,21,2002-10-03,"Montgomery, Alabama"
39,FA,Keyontae Johnson,--,SF,"6' 5""",230,--,24,2000-05-24,"Norfolk, Virginia"
40,FA,Emoni Bates,--,SG,"6' 10""",170,--,20,2004-01-28,"Ann Arbor, Michigan"
41,FA,Seth Lundy,--,SG,"6' 6""",220,--,24,2000-04-02,"Paulsboro, New Jersey"
42,FA,Isaiah Mobley,--,PF,"6' 8""",240,--,23,1999-09-24,"San Diego, California"
43,FA,Colin Castleton,--,PF,"6' 11""",250,--,24,2000-05-25,"Pembroke Pines, Florida"
44,FA,Oscar Tshiebwe,--,PF,"6' 9""",260,--,24,1999-11-27,"Lubumbashi, Democratic Republic of the Congo"
45,FA,Isaiah Wong,--,PG,"6' 4""",184,--,23,2001-01-28,"Piscataway, New Jersey"
46,FA,Jalen Slawson,--,PF,"6' 7""",215,--,24,1999-10-22,"Summerville, South Carolina"
47,FA,Jared Rhoden,--,SG,"6' 6""",210,--,24,1999-08-27,"Baldwin, New York"
48,FA,Terquavion Smith,--,SG,"6' 4""",165,--,21,2002-12-31,"Greenville, North Carolina"
49,FA,Dereon Seabron,--,SG,"6' 7""",180,--,24,2000-05-26,"Norfolk, Virginia"
50,FA,Micah Potter,--,C,"6' 10""",248,--,26,1998-04-06,"Mentor, Ohio"
51,FA,Kevon Harris,--,SG,"6' 5""",216,--,27,1997-06-24,"Ellenwood, Georgia"
52,FA,Malik Williams,--,C,"6' 11""",250,--,25,1998-08-26,"Fort Wayne, Indiana"
53,FA,Jacob Toppin,--,SF,"6' 9""",205,--,24,2000-05-08,"Ossining, New York"
54,FA,Pete Nance,--,PF,"6' 11""",230,--,24,2000-02-19,"Akron, Ohio"
55,FA,Ashton Hagans,--,PG,"6' 3""",190,--,24,1999-07-08,"Cartersville, Georgia"
56,FA,Kai Jones,--,PF,"6' 11""",218,--,23,2001-01-19,"Nassau, Bahamas"
57,FA,Jordan Goodwin,--,PG,"6' 3""",200,--,25,1998-10-23,"Centreville, Illinois"
58,FA,Usman Garuba,--,PF,"6' 8""",220,--,22,2002-03-09,"Azuqueca de Henares, Spain"
59,FA,Isaiah Thomas,--,PG,"5' 9""",185,--,35,1989-02-07,"Tacoma, Washington"
60,FA,Javonte Green,--,SG,"6' 4""",205,--,30,1993-07-23,"Petersburg, Virginia"
61,FA,Marcus Morris Sr.,--,SF,"6' 8""",218,--,34,1989-09-02,"Philadelphia, Pennsylvania"
62,FA,T.J. Warren,--,SF,"6' 8""",220,--,30,1993-09-05,"Durham, North Carolina"
63,FA,Dominick Barlow,--,PF,"6' 9""",221,--,21,2003-05-26,"Hackensack, New Jersey"
64,FA,Lester Quinones,--,SG,"6' 5""",208,--,23,2000-11-16,"Brentwood, New York"
65,FA,Taj Gibson,--,C,"6' 9""",232,--,39,1985-06-24,"Brooklyn, New York"
66,FA,Shake Milton,--,SG,"6' 5""",205,--,27,1996-09-26,"Owasso, Oklahoma"
67,FA,Trent Forrest,--,PG,"6' 4""",210,--,26,1998-06-12,"Dothan, Alabama"
68,FA,Patty Mills,--,PG,"6' 2""",180,--,35,1988-08-11,"Canberra, Australia"
69,FA,Mike Muscala,--,C,"6' 10""",240,--,33,1991-07-01,"St. Louis Park, Minnesota"
70,FA,Thaddeus Young,--,PF,"6' 8""",235,--,36,1988-06-21,"New Orleans, Louisiana"
71,FA,Danilo Gallinari,--,PF,"6' 10""",233,--,35,1988-08-08,"Sant'Angelo Lodigiano, Italy"
72,FA,Jeff Dowtin,--,PG,"6' 3""",185,--,27,1997-05-10,"Upper Marlboro, Maryland"
73,FA,Bismack Biyombo,--,C,"6' 8""",255,--,31,1992-08-28,"Lubumbashi, Democratic Republic of the Congo"
74,FA,James Johnson,--,PF,"6' 7""",240,--,37,1987-02-20,"Cheyenne, Wyoming"
75,FA,Luka Samanic,--,PF,"6' 10""",227,--,24,2000-01-09,"Zagreb, Croatia"
76,FA,Admiral Schofield,--,SF,"6' 5""",241,--,27,1997-03-30,"London, United Kingdom"
77,FA,Haywood Highsmith,--,F,"6' 7""",220,--,27,1996-12-09,"Baltimore, Maryland"
78,FA,Stanley Umude,--,G,"6' 6""",210,--,25,1999-04-12,"Portland, Oregon"
79,FA,DaQuan Jeffries,--,SG,"6' 5""",230,--,27,1997-08-30,"Edmond, Oklahoma"
80,FA,Chimezie Metu,--,C,"6' 9""",225,--,27,1997-03-22,"Los Angeles, California"
81,FA,Brandon Boston Jr,--,SG,"6' 7""",185,--,22,2001-11-28,"Norcross, Georgia"
82,FA,Kenyon Martin Jr.,--,SF,"6' 9""",234,--,23,1977-12-30,"Saginaw, Michigan"
83,FA,Spencer Dinwiddie,--,PG,"6' 5""",215,--,31,1993-04-06,"Los Angeles, California"
84,FA,JT Thor,--,PF,"6' 10""",205,--,21,2002-08-26,"Omaha, Nebraska"
85,FA,Kessler Edwards,--,SF,"6' 8""",215,--,23,2000-08-09,"Glendale, California"
86,FA,Kendall Brown,--,SF,"6' 8""",205,--,21,2003-05-11,"St. Paul, Minnesota"
87,FA,Anthony Gill,--,PF,"6' 7""",230,--,31,1992-10-17,"High Point, North Carolina"
88,FA,Trendon Watford,--,PF,"6' 9""",240,--,23,2000-11-09,"Birmingham, Alabama"
89,FA,Sandro Mamukelashvili,--,C,"6' 11""",240,--,25,1999-05-23,"New York, New York"
90,FA,Lamar Stevens,--,SF,"6' 6""",230,--,26,1997-07-09,"Philadelphia, Pennsylvania"
91,FA,Jordan McLaughlin,--,PG,"6' 0""",185,--,28,1996-04-09,"Etiwanda, California"
92,FA,Moses Brown,--,C,"7' 2""",245,--,24,1999-10-13,"New York, New York"
93,FA,Vlatko Cancar,--,PF,"6' 8""",236,--,27,1997-04-10,"Koper, Slovenia"
94,FA,Oshae Brissett,--,SF,"6' 7""",210,--,26,1998-06-20,"Toronto, Ontario"
95,FA,Svi Mykhailiuk,--,SG,"6' 7""",205,--,27,1997-06-10,"Cherkasy, Ukraine"
96,FA,Thanasis Antetokounmpo,--,SF,"6' 7""",219,--,31,1992-07-18,"Athens, Greece"
97,FA,Lonnie Walker IV,--,SG,"6' 4""",204,--,25,1998-12-14,"Reading, Pennsylvania"
98,FA,Damian Jones,--,C,"6' 11""",245,--,29,1995-06-30,"Baton Rouge, Louisiana"
99,FA,Yuta Watanabe,--,SF,"6' 9""",215,--,29,1994-10-13,"Yokohama, Japan"
100,FA,Malachi Flynn,--,PG,"6' 1""",175,--,26,1998-05-10,"Tacoma, Washington"
101,FA,Dennis Smith Jr.,--,PG,"6' 2""",205,--,26,1997-11-25,"Fayetteville, North Carolina"
