,Name,Height (ft),Weight (lb),Age,Birth Date,Birth Location
0,Blake Wesley,"6' 3""",190,21,2003-03-16,"South Bend, Indiana"
1,Victor Wembanyama,"7' 3""",235,20,2004-01-04,"Le Chesnay, France"
2,Devin Vassell,"6' 5""",205,23,2000-08-23,"Lawrenceville, Georgia"
3,Jeremy Sochan,"6' 8""",230,21,2003-05-20,"Guymon, Oklahoma"
4,Chris Paul,"6' 0""",190,39,1985-05-06,"Winston-Salem, North Carolina"
5,Riley Minix,"6' 7""",230,24,2000-09-22,"Vero Beach, Florida"
6,Sandro Mamukelashvili,"6' 9""",235,25,1999-05-23,"New York, New York"
7,Tre Jones,"6' 1""",190,24,2000-01-08,"Apple Valley, Minnesota"
8,Keldon Johnson,"6' 5""",215,24,1999-10-11,"Chesterfield, Virginia"
9,Harrison Ingram,"6' 5""",235,21,2002-11-27,"Dallas, Texas"
10,Malachi Flynn,"6' 1""",185,26,1998-05-10,"Tacoma, Washington"
11,David Duke Jr.,"6' 4""",200,24,1999-10-13,"Providence, Rhode Island"
12,Zach Collins,"6' 11""",240,26,1997-11-19,"Las Vegas, Nevada"
13,Sidy Cissoko,"6' 6""",220,20,2004-04-02,"Saint-Maurice, France"
14,Julian Champagnie,"6' 8""",210,23,2001-06-29,"Staten Island, New York"
15,Stephon Castle,"6' 5""",210,19,2004-11-01,"Covington, Georgia"
16,Malaki Branham,"6' 5""",205,21,2003-05-12,"Columbus, Ohio"
17,Brandon Boston Jr.,"6' 6""",200,22,2001-11-28,"Norcross, Georgia"
18,Charles Bassey,"6' 10""",240,23,2000-10-28,"Lagos, Nigeria"
19,Harrison Barnes,"6' 8""",225,32,1992-05-30,"Ames, Iowa"
20,Zion Williamson,"6' 6""",285,23,2000-07-06,"Salisbury, North Carolina"
21,Daniel Theis,"6' 8""",245,32,1992-04-04,"Salzgitter, Germany"
22,Jeremiah Robinson-Earl,"6' 9""",234,23,2000-11-03,"Kansas City, Missouri"
23,Antonio Reeves,"6' 5""",189,23,2000-11-20,"Chicago, Illinois"
24,Dejounte Murray,"6' 5""",181,27,1996-09-19,"Seattle, Washington"
25,Trey Murphy III,"6' 8""",217,24,2000-06-18,"Durham, North Carolina"
26,Yves Missi,"6' 11""",236,20,2004-05-14,"Brussels, Belgium"
27,CJ McCollum,"6' 3""",202,32,1991-09-19,"Canton, Ohio"
28,Karlo Matkovic,"6' 11""",260,23,2001-03-30,"Livno, Bosnia and Herzegovina"
29,Herbert Jones,"6' 7""",212,25,1998-10-06,"Tuscaloosa, Alabama"
30,Trey Jemison,"6' 11""",275,24,1999-11-28,"Birmingham, Alabama"
31,Brandon Ingram,"6' 8""",210,26,1997-09-02,"Kinston, North Carolina"
32,Malcolm Hill,"6' 6""",225,28,1995-10-26,"St. Louis, Missouri"
33,Jordan Hawkins,"6' 5""",185,22,2002-04-29,"Gaithersburg, Maryland"
34,Javonte Green,"6' 4""",220,30,1993-07-23,"Petersburg, Virginia"
35,Jamal Cain,"6' 7""",207,25,1999-03-20,"Pontiac, Michigan"
36,Jose Alvarado,"6' 0""",182,26,1998-04-12,"Brooklyn, New York"
37,Vince Williams Jr.,"6' 6""",205,23,2000-08-30,"Toledo, Ohio"
38,Jaylen Wells,"6' 7""",206,20,2003-08-26,"Sacramento, California"
39,Cam Spencer,"6' 3""",201,24,2000-04-06,"Davidsonville, Maryland"
40,Marcus Smart,"6' 3""",220,30,1994-03-06,"Flower Mound, Texas"
41,Scotty Pippen Jr.,"6' 1""",170,23,2000-11-10,"Portland, Oregon"
42,Maozinha Pereira,"6' 8""",177,24,2000-08-28,"Rio de Janeiro, Brazil"
43,Miye Oni,"6' 5""",206,27,1997-08-04,"Los Angeles, California"
44,Miles Norris,"6' 7""",220,24,2000-04-15,"San Francisco, California"
45,Ja Morant,"6' 3""",175,24,1999-08-10,"Dalzell, South Carolina"
46,Jake LaRavia,"6' 7""",235,22,2001-11-03,"Pasadena, California"
47,John Konchar,"6' 5""",210,28,1996-03-22,"Chicago, Illinois"
48,Luke Kennard,"6' 5""",206,28,1996-06-24,"Middletown, Ohio"
49,Yuki Kawamura,"5' 8""",159,23,2001-05-02,"Yanai, Japan"
50,Jaren Jackson Jr.,"6' 11""",242,56,1967-10-27,"New Orleans, Louisiana"
51,GG Jackson II,"6' 9""",215,19,2004-12-17,"Columbia, South Carolina"
52,Jay Huff,"7' 1""",240,25,1998-08-25,"Durham, North Carolina"
53,Zach Edey,"7' 4""",299,22,2002-05-14,"Toronto, Canada"
54,Brandon Clarke,"6' 8""",210,27,1996-09-19,"Vancouver, British Columbia"
55,Desmond Bane,"6' 6""",215,26,1998-06-25,"Richmond, Indiana"
56,Armando Bacot,"6' 11""",240,24,2000-03-06,"Richmond, Virginia"
57,Santi Aldama,"6' 11""",224,23,2001-01-10,"Las Palmas, Spain"
58,Nate Williams,"6' 5""",205,74,1950-05-02,"Columbia, Louisiana"
59,Cam Whitmore,"6' 7""",235,19,2004-07-08,"Odenton, Maryland"
60,Fred VanVleet,"6' 0""",193,30,1994-02-25,"Rockford, Illinois"
61,Amen Thompson,"6' 7""",215,21,2003-01-30,"San Leandro, California"
62,Jae'Sean Tate,"6' 5""",226,28,1995-10-28,"Toledo, Ohio"
63,Jabari Smith Jr.,"6' 11""",213,47,1977-02-12,"Atlanta, Georgia"
64,Reed Sheppard,"6' 3""",182,20,2004-06-24,"London, Kentucky"
65,Alperen Sengun,"6' 11""",255,21,2002-07-25,"Giresun, Turkey"
66,Jermaine Samuels Jr.,"6' 7""",230,25,1998-11-13,"Franklin, Massachusetts"
67,Jack McVeigh,"6' 7""",205,28,1996-06-27,"Murwillumbah, Australia"
68,Jock Landale,"6' 11""",255,28,1995-10-25,"E Malvern, Australia"
69,Aaron Holiday,"6' 0""",185,27,1996-09-30,"Ruston, Louisiana"
70,Nate Hinton,"6' 5""",210,25,1999-06-08,"Gastonia, North Carolina"
71,Jeff Green,"6' 8""",235,37,1986-08-28,"Cheverly, Maryland"
