,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
0,SA,Blake Wesley,14,G,"6' 3""",190,"$2,624,280",21,2003-03-16,"South Bend, Indiana"
1,SA,Victor Wembanyama,1,C,"7' 3""",235,"$12,768,960",20,2004-01-04,"Le Chesnay, France"
2,SA,Devin Vassell,24,SG,"6' 5""",205,"$29,347,826",23,2000-08-23,"Lawrenceville, Georgia"
3,SA,Jeremy Sochan,10,F,"6' 8""",230,"$5,570,040",21,2003-05-20,"Guymon, Oklahoma"
4,SA,Chris Paul,3,PG,"6' 0""",190,"$10,460,000",39,1985-05-06,"Winston-Salem, North Carolina"
5,SA,Riley Minix,27,F,"6' 7""",230,--,24,2000-09-22,"Vero Beach, Florida"
6,SA,Sandro Mamukelashvili,54,PF,"6' 9""",235,"$2,087,519",25,1999-05-23,"New York, New York"
7,SA,Tre Jones,33,PG,"6' 1""",190,"$9,104,167",24,2000-01-08,"Apple Valley, Minnesota"
8,SA,Keldon Johnson,0,SF,"6' 5""",215,"$19,000,000",24,1999-10-11,"Chesterfield, Virginia"
9,SA,Harrison Ingram,55,F,"6' 5""",235,--,21,2002-11-27,"Dallas, Texas"
10,SA,Malachi Flynn,18,PG,"6' 1""",185,--,26,1998-05-10,"Tacoma, Washington"
11,SA,David Duke Jr.,28,G,"6' 4""",200,--,24,1999-10-13,"Providence, Rhode Island"
12,SA,Zach Collins,23,PF,"6' 11""",240,"$16,741,200",26,1997-11-19,"Las Vegas, Nevada"
13,SA,Sidy Cissoko,25,G,"6' 6""",220,"$1,891,857",20,2004-04-02,"Saint-Maurice, France"
14,SA,Julian Champagnie,30,F,"6' 8""",210,"$3,000,000",23,2001-06-29,"Staten Island, New York"
15,SA,Stephon Castle,5,G,"6' 5""",210,"$9,131,760",19,2004-11-01,"Covington, Georgia"
16,SA,Malaki Branham,22,G,"6' 5""",205,"$3,217,920",21,2003-05-12,"Columbus, Ohio"
17,SA,Brandon Boston Jr.,4,SG,"6' 6""",200,--,22,2001-11-28,"Norcross, Georgia"
18,SA,Charles Bassey,28,C,"6' 10""",240,"$2,087,519",23,2000-10-28,"Lagos, Nigeria"
19,SA,Harrison Barnes,40,SF,"6' 8""",225,"$18,000,000",32,1992-05-30,"Ames, Iowa"
20,NO,Zion Williamson,1,PF,"6' 6""",285,"$36,725,670",23,2000-07-06,"Salisbury, North Carolina"
21,NO,Daniel Theis,10,C,"6' 8""",245,"$2,087,519",32,1992-04-04,"Salzgitter, Germany"
22,NO,Jeremiah Robinson-Earl,50,F,"6' 9""",234,"$2,196,970",23,2000-11-03,"Kansas City, Missouri"
23,NO,Antonio Reeves,12,G,"6' 5""",189,"$1,157,153",23,2000-11-20,"Chicago, Illinois"
24,NO,Dejounte Murray,5,SG,"6' 5""",181,"$29,535,801",27,1996-09-19,"Seattle, Washington"
25,NO,Trey Murphy III,25,SG,"6' 8""",217,"$5,159,855",24,2000-06-18,"Durham, North Carolina"
26,NO,Yves Missi,21,C,"6' 11""",236,"$3,202,560",20,2004-05-14,"Brussels, Belgium"
27,NO,CJ McCollum,3,SG,"6' 3""",202,"$33,333,333",32,1991-09-19,"Canton, Ohio"
28,NO,Karlo Matkovic,17,C,"6' 11""",260,"$1,407,153",23,2001-03-30,"Livno, Bosnia and Herzegovina"
29,NO,Herbert Jones,2,SF,"6' 7""",212,"$12,976,362",25,1998-10-06,"Tuscaloosa, Alabama"
30,NO,Trey Jemison,55,C,"6' 11""",275,--,24,1999-11-28,"Birmingham, Alabama"
31,NO,Brandon Ingram,14,SF,"6' 8""",210,"$36,016,200",26,1997-09-02,"Kinston, North Carolina"
32,NO,Malcolm Hill,33,G,"6' 6""",225,--,28,1995-10-26,"St. Louis, Missouri"
33,NO,Jordan Hawkins,24,G,"6' 5""",185,"$4,525,680",22,2002-04-29,"Gaithersburg, Maryland"
34,NO,Javonte Green,4,G,"6' 4""",220,--,30,1993-07-23,"Petersburg, Virginia"
35,NO,Jamal Cain,8,F,"6' 7""",207,--,25,1999-03-20,"Pontiac, Michigan"
36,NO,Jose Alvarado,15,PG,"6' 0""",182,"$1,988,598",26,1998-04-12,"Brooklyn, New York"
37,MEM,Vince Williams Jr.,5,G,"6' 6""",205,"$2,120,693",23,2000-08-30,"Toledo, Ohio"
38,MEM,Jaylen Wells,0,F,"6' 7""",206,"$1,157,153",20,2003-08-26,"Sacramento, California"
39,MEM,Cam Spencer,24,G,"6' 3""",201,--,24,2000-04-06,"Davidsonville, Maryland"
40,MEM,Marcus Smart,36,PG,"6' 3""",220,"$20,210,285",30,1994-03-06,"Flower Mound, Texas"
