,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
0,FA,Jules Bernard,--,SG,"6' 7""",210,--,24,2000-01-21,"Los Angeles, California"
1,FA,Nico Mannion,--,PG,"6' 2""",190,--,23,2001-03-14,"Siena, Italy"
2,FA,Vit Krejci,--,PG,"6' 8""",195,--,24,2000-06-19,"Strakonice, Czechia"
3,FA,Johnny Juzang,--,SG,"6' 7""",215,--,23,2001-03-17,"Los Angeles, California"
4,FA,Ish Wainright,--,SF,"6' 6""",250,--,29,1994-09-12,"Kansas City, Missouri"
5,FA,Dylan Windler,--,SF,"6' 6""",196,--,27,1996-09-22,"Indianapolis, Indiana"
6,FA,Quenton Jackson,--,G,"6' 5""",175,--,25,1998-09-15,"Los Angeles, California"
7,FA,Jacob Gilyard,--,PG,"5' 9""",160,--,25,1998-07-14,"Kansas City, Missouri"
8,FA,Harry Giles,--,C,"6' 11""",240,--,26,1998-04-22,"Winston-Salem, North Carolina"
9,FA,Alondes Williams,--,G,"6' 4""",210,--,25,1999-06-19,"Milwaukee , Wisconsin"
10,FA,Skylar Mays,--,SG,"6' 4""",205,--,26,1997-09-05,"Baton Rouge, Louisiana"
11,FA,Duane Washington Jr.,--,PG,"6' 4""",195,--,24,1964-08-31,"Eschwege, Germany"
12,FA,Brandon Williams,--,PG,"6' 6""",215,--,24,1975-02-27,"Collinston, Louisiana"
13,FA,Henri Drell,--,SF,"6' 9""",187,--,24,2000-04-25,"Tallinn, Estonia"
14,FA,Drew Peterson,--,F,"6' 9""",205,--,24,1999-11-09,"Libertyville, Illinois"
15,FA,Jontay Porter,--,PF,"6' 11""",240,--,24,1999-11-15,"Columbia, Missouri"
16,FA,Ibou Badji,--,C,"7' 1""",240,--,21,2002-10-13,"Dakar, Senegal"
17,FA,Xavier Moon,--,SG,"6' 2""",165,--,29,1995-01-02,"Goodwater, Alabama"
18,FA,Keon Johnson,--,SG,"6' 5""",186,--,22,2002-03-10,"Shelbyville, Tennessee"
19,FA,Nate Hinton,--,SG,"6' 5""",210,--,25,1999-06-08,"Gastonia, North Carolina"
20,FA,Justin Minaya,--,F,"6' 5""",210,--,25,1999-03-26,"Harrington Park, New Jersey"
21,FA,Jerome Robinson,--,SG,"6' 4""",190,--,27,1997-02-22,"Raleigh, North Carolina"
22,FA,Daishen Nix,--,PG,"6' 5""",224,--,22,2002-02-13,"Anchorage, Alaska"
23,FA,Trevelin Queen,--,SG,"6' 6""",190,--,27,1997-02-25,"Baltimore, Maryland"
24,FA,Jordan Ford,--,PG,"6' 1""",175,--,26,1998-05-26,"Citrus Heights, California"
25,FA,Charlie Brown Jr.,--,SG,"6' 6""",199,--,26,1997-02-02,"Philadelphia, Pennsylvania"
26,FA,TyTy Washington Jr.,--,PG,"6' 3""",197,--,22,2001-11-15,"Phoenix, Arizona"
27,FA,Olivier Sarr,--,C,"7' 0""",237,--,25,1999-02-20,"Niort, France"
28,FA,Greg Brown III,--,PF,"6' 7""",205,--,22,2001-09-01,"Dallas, Texas"
29,FA,Cole Swider,--,F,"6' 9""",220,--,25,1999-05-08,"Portsmouth, Rhode Island"
30,FA,Jamal Cain,--,SF,"6' 7""",191,--,25,1999-03-20,"Pontiac, Michigan"
31,FA,Jeenathan Williams,--,SG,"6' 5""",205,--,25,1999-02-12,"Rochester, New York"
32,FA,Jermaine Samuels,--,SF,"6' 7""",230,--,25,1998-11-13,"Franklin, Massachusetts"
33,FA,Braxton Key,--,SF,"6' 8""",230,--,27,1997-02-14,"Charlotte, North Carolina"
34,FA,Moussa Diabate,--,PF,"6' 11""",210,--,22,2002-01-21,"Paris, France"
35,FA,Jay Huff,--,C,"7' 1""",240,--,25,1998-08-25,"Durham, North Carolina"
36,FA,Saben Lee,--,PG,"6' 2""",183,--,25,1999-06-23,"St. Louis, Missouri"
37,FA,Amari Bailey,--,PG,"6' 5""",185,--,20,2004-02-17,"New Orleans, Louisiana"
38,FA,Adama Sanogo,--,PF,"6' 9""",245,--,22,2002-02-12,"Bamako, Mali"
39,FA,J.D. Davison,--,PG,"6' 1""",195,--,21,2002-10-03,"Montgomery, Alabama"
40,FA,Keyontae Johnson,--,SF,"6' 5""",230,--,24,2000-05-24,"Norfolk, Virginia"
41,FA,Emoni Bates,--,SG,"6' 10""",170,--,20,2004-01-28,"Ann Arbor, Michigan"
42,FA,Seth Lundy,--,SG,"6' 6""",220,--,24,2000-04-02,"Paulsboro, New Jersey"
43,FA,Isaiah Mobley,--,PF,"6' 8""",240,--,23,1999-09-24,"San Diego, California"
44,FA,Colin Castleton,--,PF,"6' 11""",250,--,24,2000-05-25,"Pembroke Pines, Florida"
45,FA,Oscar Tshiebwe,--,PF,"6' 9""",260,--,24,1999-11-27,"Lubumbashi, Democratic Republic of the Congo"
46,FA,Isaiah Wong,--,PG,"6' 4""",184,--,23,2001-01-28,"Piscataway, New Jersey"
47,FA,Jalen Slawson,--,PF,"6' 7""",215,--,24,1999-10-22,"Summerville, South Carolina"
48,FA,Jared Rhoden,--,SG,"6' 6""",210,--,24,1999-08-27,"Baldwin, New York"
49,FA,Terquavion Smith,--,SG,"6' 4""",165,--,21,2002-12-31,"Greenville, North Carolina"
50,FA,Dereon Seabron,--,SG,"6' 7""",180,--,24,2000-05-26,"Norfolk, Virginia"
51,FA,Micah Potter,--,C,"6' 10""",248,--,26,1998-04-06,"Mentor, Ohio"
52,FA,Kevon Harris,--,SG,"6' 5""",216,--,27,1997-06-24,"Ellenwood, Georgia"
53,FA,Malik Williams,--,C,"6' 11""",250,--,25,1998-08-26,"Fort Wayne, Indiana"
54,FA,Jacob Toppin,--,SF,"6' 9""",205,--,24,2000-05-08,"Ossining, New York"
55,FA,Pete Nance,--,PF,"6' 11""",230,--,24,2000-02-19,"Akron, Ohio"
56,FA,Ashton Hagans,--,PG,"6' 3""",190,--,24,1999-07-08,"Cartersville, Georgia"
57,FA,Kai Jones,--,PF,"6' 11""",218,--,23,2001-01-19,"Nassau, Bahamas"
58,FA,Jordan Goodwin,--,PG,"6' 3""",200,--,25,1998-10-23,"Centreville, Illinois"
59,FA,Usman Garuba,--,PF,"6' 8""",220,--,22,2002-03-09,"Azuqueca de Henares, Spain"
60,FA,Isaiah Thomas,--,PG,"5' 9""",185,--,35,1989-02-07,"Tacoma, Washington"
61,FA,Luka Garza,--,C,"6' 10""",235,--,25,1998-12-27,"Washington, District of Columbia"
62,FA,Javonte Green,--,SG,"6' 4""",205,--,30,1993-07-23,"Petersburg, Virginia"
63,FA,Marcus Morris Sr.,--,SF,"6' 8""",218,--,34,1989-09-02,"Philadelphia, Pennsylvania"
64,FA,T.J. Warren,--,SF,"6' 8""",220,--,30,1993-09-05,"Durham, North Carolina"
65,FA,Dominick Barlow,--,PF,"6' 9""",221,--,21,2003-05-26,"Hackensack, New Jersey"
66,FA,Lester Quinones,--,SG,"6' 5""",208,--,23,2000-11-16,"Brentwood, New York"
67,FA,Taj Gibson,--,C,"6' 9""",232,--,39,1985-06-24,"Brooklyn, New York"
68,FA,Shake Milton,--,SG,"6' 5""",205,--,27,1996-09-26,"Owasso, Oklahoma"
69,FA,Trent Forrest,--,PG,"6' 4""",210,--,26,1998-06-12,"Dothan, Alabama"
70,FA,Patty Mills,--,PG,"6' 2""",180,--,35,1988-08-11,"Canberra, Australia"
71,FA,Mike Muscala,--,C,"6' 10""",240,--,32,1991-07-01,"St. Louis Park, Minnesota"
72,FA,Delon Wright,--,PG,"6' 5""",185,--,32,1992-04-26,"Los Angeles, California"
73,FA,Thaddeus Young,--,PF,"6' 8""",235,--,36,1988-06-21,"New Orleans, Louisiana"
74,FA,Danilo Gallinari,--,PF,"6' 10""",233,--,35,1988-08-08,"Sant'Angelo Lodigiano, Italy"
75,FA,Neemias Queta,--,C,"7' 0""",245,--,24,1999-07-13,"Lisbon, Portugal"
76,FA,Jeff Dowtin,--,PG,"6' 3""",185,--,27,1997-05-10,"Upper Marlboro, Maryland"
77,FA,Bismack Biyombo,--,C,"6' 8""",255,--,31,1992-08-28,"Lubumbashi, Democratic Republic of the Congo"
78,FA,James Johnson,--,PF,"6' 7""",240,--,37,1987-02-20,"Cheyenne, Wyoming"
79,FA,Luka Samanic,--,PF,"6' 10""",227,--,24,2000-01-09,"Zagreb, Croatia"
80,FA,Admiral Schofield,--,SF,"6' 5""",241,--,27,1997-03-30,"London, United Kingdom"
81,FA,Haywood Highsmith,--,F,"6' 7""",220,--,27,1996-12-09,"Baltimore, Maryland"
82,FA,Stanley Umude,--,G,"6' 6""",210,--,25,1999-04-12,"Portland, Oregon"
83,FA,Naji Marshall,--,SF,"6' 7""",220,--,26,1998-01-24,"Atlantic City, New Jersey"
84,FA,Goga Bitadze,--,C,"6' 11""",250,--,24,1999-07-20,"Sagarejo, Georgia"
85,FA,DaQuan Jeffries,--,SG,"6' 5""",230,--,27,1997-08-30,"Edmond, Oklahoma"
86,FA,Max Christie,--,SG,"6' 6""",190,--,21,2003-02-10,"Arlington Heights, Illinois"
87,FA,Chimezie Metu,--,C,"6' 9""",225,--,27,1997-03-22,"Los Angeles, California"
88,FA,Brandon Boston Jr,--,SG,"6' 7""",185,--,22,2001-11-28,"Norcross, Georgia"
89,FA,Kenyon Martin Jr.,--,SF,"6' 9""",234,--,23,1977-12-30,"Saginaw, Michigan"
90,FA,Spencer Dinwiddie,--,PG,"6' 5""",215,--,31,1993-04-06,"Los Angeles, California"
91,FA,Aaron Wiggins,--,SG,"6' 6""",200,--,25,1999-01-02,"Greensboro, North Carolina"
92,FA,Xavier Tillman,--,C,"6' 8""",245,--,25,1999-01-12,"Grand Rapids, Michigan"
93,FA,JT Thor,--,PF,"6' 10""",205,--,21,2002-08-26,"Omaha, Nebraska"
94,FA,Kris Dunn,--,PG,"6' 3""",205,--,30,1994-03-18,"New London, Connecticut"
95,FA,Kessler Edwards,--,SF,"6' 8""",215,--,23,2000-08-09,"Glendale, California"
96,FA,Kendall Brown,--,SF,"6' 8""",205,--,21,2003-05-11,"St. Paul, Minnesota"
97,FA,Anthony Gill,--,PF,"6' 7""",230,--,31,1992-10-17,"High Point, North Carolina"
98,FA,Isaiah Joe,--,SG,"6' 4""",165,--,24,1999-07-02,"Fort Smith, Arkansas"
99,FA,Trendon Watford,--,PF,"6' 9""",240,--,23,2000-11-09,"Birmingham, Alabama"
100,FA,Sandro Mamukelashvili,--,C,"6' 11""",240,--,25,1999-05-23,"New York, New York"
101,FA,Lamar Stevens,--,SF,"6' 6""",230,--,26,1997-07-09,"Philadelphia, Pennsylvania"
