,Team,Name,Age,Birth Date,Birth Location
0,CLE,Kenny Atkinson,57,1967-06-02,"Huntington, New York"
1,DET,J.B. Bickerstaff,45,1979-03-10,"Denver, Colorado"
2,POR,Chauncey Billups,48,1976-09-25,"Denver, Colorado"
3,SAC,Mike Brown,54,1970-03-05,"Columbus, Ohio"
4,PHX,Mike Budenholzer,55,1969-08-06,"Holbrook, Arizona"
5,IND,Rick Carlisle,64,1959-10-27,"Ogdensburg, New York"
6,FA,Dwane Casey,67,1957-04-17,"Indianapolis, Indiana"
7,FA,Steve Clifford,63,1961-09-17,"Island Falls, Maine"
8,OKC,Mark Daigneault,39,1985-02-23,"Leominster, Massachusetts"
9,CHI,Billy Donovan,59,1965-05-30,"Rockville Centre, New York"
10,BKN,Jordi Fernández Torres,41,1982-12-27,"Badalona, Spain"
11,MIN,Chris Finch,54,1969-11-06,"Cambridge, Ohio"
12,NO,Willie Green,43,1981-07-28,"Detroit, Michigan"
13,FA,Adrian Griffin,50,1974-07-04,"Wichita, Kansas"
14,FA,Darvin Ham,51,1973-07-23,"Saginaw, Michigan"
15,UTAH,Will Hardy,36,1988-01-21,"Richmond, Virginia"
16,MEM,Taylor Jenkins,40,1984-09-12,"Arlington, Texas"
17,WSH,Brian Keefe,48,1976-04-07,"Winchester, Massachusetts"
18,GS,Steve Kerr,59,1965-09-27,"Beirut, Lebanon"
19,DAL,Jason Kidd,51,1973-03-23,"San Francisco, California"
20,CHA,Charles Lee,39,1984-11-11,"Washington, District of Columbia"
21,LAC,Tyronn Lue,47,1977-05-03,"Mexico, Missouri"
22,DEN,Michael Malone,53,1971-09-15,"Queens, New York"
23,BOS,Joe Mazzulla,36,1988-06-30,"Johnston, Rhode Island"
24,FA,Nate McMillan,60,1964-08-03,"Raleigh, North Carolina"
25,ORL,Jamahl Mosley,46,1978-10-06,"Milwaukee, Wisconsin"
26,FA,Steve Nash,50,1974-02-07,"Johannesburg, South Africa"
27,PHI,Nick Nurse,57,1967-07-24,"Carroll, Iowa"
28,FA,Kevin Ollie,51,1972-12-27,"Dallas, Texas"
29,SA,Gregg Popovich,75,1949-01-28,"East Chicago, Indiana"
30,FA,Joe Prunty,55,1969-02-12,"Sunnyvale, California"
31,TOR,Darko Rajakovic,45,1979-02-22,"Čačak, Serbia"
32,MIL,Doc Rivers,63,1961-10-13,"Chicago, Illinois"
33,FA,Stephen Silas,51,1973-08-06,"Boston, Massachusetts"
34,ATL,Quin Snyder,57,1966-10-30,"Mercer Island, Washington"
35,MIA,Erik Spoelstra,53,1970-11-01,"Evanston, Illinois"
36,NY,Tom Thibodeau,66,1958-01-17,"New Britain, Connecticut"
37,HOU,Ime Udoka,47,1977-08-09,"Portland, Oregon"
38,FA,Wes Unseld,49,1975-09-20,"Catonsville, Maryland"
39,FA,Jacque Vaughn,49,1975-02-11,"Los Angeles, California"
40,FA,Frank Vogel,51,1973-06-21,"Wildwood Crest, New Jersey"
41,FA,Monty Williams,53,1971-10-08,"Fredericksburg, Virginia"
